,[1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 0.],[2. 2. 1. 1. 1. 0. 0.],[2. 2. 2. 1. 0. 0. 0.],[3. 1. 1. 1. 1. 0. 0.],[3. 2. 1. 1. 0. 0. 0.],[3. 2. 2. 0. 0. 0. 0.],[3. 3. 1. 0. 0. 0. 0.],[4. 1. 1. 1. 0. 0. 0.],[4. 2. 1. 0. 0. 0. 0.],[4. 3. 0. 0. 0. 0. 0.],[5. 1. 1. 0. 0. 0. 0.],[5. 2. 0. 0. 0. 0. 0.],[6. 1. 0. 0. 0. 0. 0.],[7. 0. 0. 0. 0. 0. 0.]
[5. 3. 1. 1. 0. 0. 0.],-1.0,-0.47619047619047616,-0.0761904761904762,0.2,0.01904761904761905,0.319047619047619,0.5333333333333333,0.6761904761904762,0.4142857142857143,0.6095238095238096,0.9047619047619048,0.7904761904761904,0.9047619047619048,1.0,1.0
[5. 3. 2. 0. 0. 0. 0.],-1.0,-0.5238095238095238,-0.12380952380952381,0.2571428571428571,-0.18095238095238095,0.13333333333333333,0.4857142857142857,0.34285714285714286,0.14285714285714285,0.4238095238095238,0.6428571428571429,0.44761904761904764,0.7857142857142857,0.7142857142857143,1.0
[5. 4. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.638095238095238,-0.2,-0.580952380952381,-0.08571428571428572,0.3142857142857143,0.44761904761904764,-0.11428571428571428,0.3476190476190476,0.7857142857142857,0.24761904761904763,0.6428571428571429,0.6666666666666666,1.0
[5. 5. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-0.7142857142857143,-0.14285714285714285,-0.14285714285714285,-0.7142857142857143,-0.14285714285714285,0.5238095238095238,-0.42857142857142855,0.2857142857142857,-0.0,0.7142857142857143
[6. 1. 1. 1. 1. 0. 0.],-1.0,-0.6190476190476191,-0.3142857142857143,-0.08571428571428572,0.14285714285714285,0.3142857142857143,0.42857142857142855,0.7714285714285715,0.7142857142857143,0.7714285714285715,1.0,1.0,1.0,1.0,1.0
[6. 2. 1. 1. 0. 0. 0.],-1.0,-0.5952380952380952,-0.3238095238095238,-0.1,-0.0761904761904762,0.11428571428571428,0.29523809523809524,0.4666666666666667,0.4142857142857143,0.5714285714285714,0.8571428571428571,0.7904761904761904,0.9047619047619048,1.0,1.0
[6. 2. 2. 0. 0. 0. 0.],-1.0,-0.6190476190476191,-0.37142857142857144,-0.14285714285714285,-0.23809523809523808,-0.0761904761904762,0.14285714285714285,0.10476190476190476,0.14285714285714285,0.34285714285714286,0.5238095238095238,0.5047619047619047,0.7619047619047619,0.8095238095238095,1.0
[6. 3. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.638095238095238,-0.2,-0.6761904761904762,-0.21428571428571427,0.20952380952380953,0.24761904761904763,-0.18571428571428572,0.22380952380952382,0.6428571428571429,0.34285714285714286,0.6666666666666666,0.7857142857142857,1.0
[6. 4. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-0.7142857142857143,-0.14285714285714285,-0.14285714285714285,-0.7857142857142857,-0.2857142857142857,0.40476190476190477,-0.3333333333333333,0.2619047619047619,0.14285714285714285,0.7142857142857143
[7. 1. 1. 1. 0. 0. 0.],-1.0,-1.0,-0.7714285714285715,-0.4714285714285714,-0.5714285714285714,-0.2,0.08571428571428572,0.4,0.14285714285714285,0.4,0.8571428571428571,0.7142857142857143,0.8571428571428571,1.0,1.0
[7. 2. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.8,-0.5428571428571428,-0.6761904761904762,-0.40476190476190477,-0.10476190476190476,-0.0,-0.18571428571428572,0.12380952380952381,0.5238095238095238,0.34285714285714286,0.6428571428571429,0.7857142857142857,1.0
[7. 3. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-0.7857142857142857,-0.2857142857142857,-0.42857142857142855,-0.7857142857142857,-0.3333333333333333,0.14285714285714285,-0.3333333333333333,0.2619047619047619,0.2619047619047619,0.8571428571428571
[8. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.8,-1.0,-0.6952380952380952,-0.3142857142857143,-0.10476190476190476,-0.5714285714285714,-0.10476190476190476,0.5238095238095238,0.14285714285714285,0.5238095238095238,0.7619047619047619,1.0
[8. 2. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.9285714285714286,-1.0,-0.8571428571428571,-0.6190476190476191,-0.5238095238095238,-0.7857142857142857,-0.47619047619047616,-0.0,-0.3333333333333333,0.14285714285714285,0.2619047619047619,0.8571428571428571
[9. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-0.6666666666666666,-1.0,-0.6666666666666666,-0.0,-0.6190476190476191,-0.0,0.14285714285714285,0.8571428571428571
[10.  0.  0.  0.  0.  0.  0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7142857142857143,-1.0,-0.7142857142857143,-0.7142857142857143,0.14285714285714285
