,[2. 2. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 1. 1. 1. 1. 0.],[2. 2. 2. 2. 1. 1. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1.],[3. 2. 1. 1. 1. 1. 1. 0.],[3. 2. 2. 1. 1. 1. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0.],[4. 2. 1. 1. 1. 1. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.]
[3. 3. 3. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.6428571428571429,-0.10714285714285714,-1.0,-1.0,-0.8214285714285714,-0.42857142857142855,-0.9285714285714286,-0.6964285714285714,-0.25,-0.625,-1.0,-0.8214285714285714,-0.5357142857142857,-0.16071428571428573,-0.75,-0.44642857142857145,-0.375,-0.6071428571428571,-0.2857142857142857,-0.8214285714285714,-0.5357142857142857,-0.16071428571428573,-0.44642857142857145,0.0,-0.2857142857142857,0.25,-0.5357142857142857,-0.16071428571428573,0.2857142857142857,0.0,0.25,-0.16071428571428573,0.2857142857142857,0.625,0.2857142857142857,0.7321428571428571,0.7321428571428571,1.0
[4. 1. 1. 1. 1. 1. 0. 0.],-1.0,-0.9821428571428571,-0.9285714285714286,-0.8214285714285714,-1.0,-0.8988095238095238,-0.7321428571428571,-0.5357142857142857,-0.38095238095238093,-0.16071428571428573,0.0,0.39285714285714285,-0.7857142857142857,-0.5059523809523809,-0.27976190476190477,-0.10714285714285714,0.19642857142857142,0.3333333333333333,0.8214285714285714,0.7619047619047619,0.8214285714285714,-0.125,0.07142857142857142,0.21428571428571427,0.6726190476190477,0.7619047619047619,1.0,1.0,0.6071428571428571,0.6726190476190477,0.7619047619047619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 1. 1. 1. 0. 0. 0.],-1.0,-0.9464285714285714,-0.8571428571428571,-0.75,-1.0,-0.8392857142857143,-0.6910714285714286,-0.5473214285714286,-0.4785714285714286,-0.32142857142857145,-0.15714285714285714,0.075,-0.7321428571428571,-0.5321428571428571,-0.3535714285714286,-0.18571428571428572,-0.09821428571428571,0.07678571428571429,0.5,0.37142857142857144,0.5535714285714286,-0.2857142857142857,-0.09821428571428571,0.06785714285714285,0.31785714285714284,0.48214285714285715,0.7767857142857143,1.0,0.26785714285714285,0.425,0.5714285714285714,0.7767857142857143,1.0,0.75,0.8392857142857143,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 1. 0. 0. 0. 0.],-1.0,-0.9071428571428571,-0.8166666666666667,-0.7321428571428571,-1.0,-0.7976190476190477,-0.6821428571428572,-0.5857142857142857,-0.5523809523809524,-0.45714285714285713,-0.3404761904761905,-0.24285714285714285,-0.7142857142857143,-0.569047619047619,-0.44166666666666665,-0.30357142857142855,-0.3142857142857143,-0.18214285714285713,0.07142857142857142,0.0,0.22023809523809523,-0.39285714285714285,-0.25357142857142856,-0.10119047619047619,-0.008333333333333333,0.16666666666666666,0.36904761904761907,0.7857142857142857,0.0,0.17023809523809524,0.38095238095238093,0.4107142857142857,0.8392857142857143,0.42142857142857143,0.6130952380952381,0.8392857142857143,0.7857142857142857,0.9464285714285714,1.0,1.0
[4. 3. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.8547619047619047,-0.6071428571428571,-1.0,-1.0,-0.8238095238095238,-0.5535714285714286,-0.819047619047619,-0.5095238095238095,-0.17857142857142858,-0.08928571428571429,-1.0,-0.819047619047619,-0.5476190476190477,-0.24285714285714285,-0.5321428571428571,-0.18214285714285713,0.2857142857142857,-0.20238095238095238,0.16666666666666666,-0.7619047619047619,-0.4785714285714286,-0.1619047619047619,-0.10119047619047619,0.23809523809523808,0.2916666666666667,0.7857142857142857,-0.35714285714285715,0.0,0.30952380952380953,0.4523809523809524,0.8392857142857143,0.17857142857142858,0.5,0.8928571428571429,0.7023809523809523,0.8928571428571429,1.0,1.0
[4. 3. 2. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.8809523809523809,-0.6428571428571429,-1.0,-1.0,-0.8571428571428571,-0.6517857142857143,-0.8571428571428571,-0.6607142857142857,-0.40476190476190477,-0.44642857142857145,-1.0,-0.8571428571428571,-0.6607142857142857,-0.39285714285714285,-0.6785714285714286,-0.45535714285714285,-0.22023809523809523,-0.5,-0.22023809523809523,-0.8214285714285714,-0.6071428571428571,-0.35119047619047616,-0.40476190476190477,-0.11011904761904762,-0.19047619047619047,0.25,-0.5357142857142857,-0.25595238095238093,0.09523809523809523,0.0,0.375,-0.16071428571428573,0.19047619047619047,0.5357142857142857,0.2857142857142857,0.6964285714285714,0.7321428571428571,1.0
[4. 4. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.8214285714285714,-1.0,-1.0,-1.0,-0.7857142857142857,-1.0,-0.75,-0.35714285714285715,-0.26785714285714285,-1.0,-1.0,-0.8571428571428571,-0.5357142857142857,-0.8392857142857143,-0.47023809523809523,0.09523809523809523,-0.6309523809523809,-0.125,-1.0,-0.8392857142857143,-0.5535714285714286,-0.5,-0.09523809523809523,-0.22023809523809523,0.25,-0.8214285714285714,-0.5,-0.09523809523809523,0.0,0.5,-0.44642857142857145,0.0,0.5714285714285714,0.09523809523809523,0.5714285714285714,0.6964285714285714,1.0
[5. 1. 1. 1. 1. 0. 0. 0.],-1.0,-1.0,-0.9857142857142858,-0.9285714285714286,-1.0,-1.0,-0.9357142857142857,-0.7857142857142857,-0.8214285714285714,-0.5678571428571428,-0.3142857142857143,0.0,-1.0,-0.8214285714285714,-0.5678571428571428,-0.3142857142857143,-0.26785714285714285,0.0,0.5357142857142857,0.35714285714285715,0.5357142857142857,-0.7321428571428571,-0.39285714285714285,-0.10714285714285714,0.2857142857142857,0.5,0.8214285714285714,1.0,-0.125,0.16071428571428573,0.39285714285714285,0.75,1.0,0.5892857142857143,0.75,1.0,1.0,1.0,1.0,1.0
[5. 2. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.969047619047619,-0.9107142857142857,-1.0,-1.0,-0.9142857142857143,-0.8035714285714286,-0.819047619047619,-0.6761904761904762,-0.4857142857142857,-0.33214285714285713,-1.0,-0.819047619047619,-0.638095238095238,-0.42142857142857143,-0.4785714285714286,-0.2511904761904762,0.16071428571428573,0.0,0.25595238095238093,-0.7619047619047619,-0.5321428571428571,-0.2833333333333333,-0.10119047619047619,0.17857142857142858,0.4523809523809524,0.8928571428571429,-0.35714285714285715,-0.10119047619047619,0.16666666666666666,0.3392857142857143,0.8392857142857143,0.17857142857142858,0.4523809523809524,0.8392857142857143,0.7023809523809523,0.8928571428571429,1.0,1.0
[5. 2. 2. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.9761904761904762,-1.0,-1.0,-1.0,-0.9285714285714286,-0.875,-0.8571428571428571,-0.7678571428571429,-0.7023809523809523,-0.6071428571428571,-1.0,-0.8571428571428571,-0.7321428571428571,-0.6071428571428571,-0.625,-0.5,-0.2857142857142857,-0.30952380952380953,-0.09523809523809523,-0.8214285714285714,-0.6607142857142857,-0.5059523809523809,-0.40476190476190477,-0.22023809523809523,0.0,0.5,-0.5357142857142857,-0.35119047619047616,-0.125,-0.09523809523809523,0.4107142857142857,-0.16071428571428573,0.09523809523809523,0.4107142857142857,0.2857142857142857,0.6607142857142857,0.7321428571428571,1.0
[5. 3. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.8214285714285714,-1.0,-1.0,-1.0,-0.8303571428571429,-1.0,-0.8571428571428571,-0.5357142857142857,-0.5714285714285714,-1.0,-1.0,-0.8035714285714286,-0.48214285714285715,-0.8392857142857143,-0.5119047619047619,-0.09523809523809523,-0.5,-0.09523809523809523,-1.0,-0.8392857142857143,-0.5119047619047619,-0.5654761904761905,-0.11011904761904762,-0.11011904761904762,0.5,-0.8214285714285714,-0.5,-0.09523809523809523,-0.11011904761904762,0.4107142857142857,-0.44642857142857145,0.0,0.5357142857142857,0.09523809523809523,0.5714285714285714,0.6964285714285714,1.0
[5. 4. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7857142857142857,-0.7857142857142857,-1.0,-1.0,-1.0,-0.8392857142857143,-1.0,-0.8392857142857143,-0.375,-0.8928571428571429,-0.5,-1.0,-1.0,-0.8928571428571429,-0.8928571428571429,-0.5357142857142857,-0.6607142857142857,-0.25,-1.0,-0.8928571428571429,-0.5714285714285714,-0.5714285714285714,-0.125,-0.8928571428571429,-0.5714285714285714,0.0,-0.5714285714285714,0.0,0.0,0.75
[6. 1. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.9821428571428571,-1.0,-1.0,-1.0,-0.9392857142857143,-1.0,-0.8642857142857143,-0.6142857142857143,-0.42142857142857143,-1.0,-1.0,-0.8642857142857143,-0.6142857142857143,-0.75,-0.42142857142857143,0.16071428571428573,-0.17857142857142858,0.16071428571428573,-1.0,-0.75,-0.42142857142857143,-0.17857142857142858,0.16071428571428573,0.44642857142857145,0.8928571428571429,-0.7142857142857143,-0.30357142857142855,0.07142857142857142,0.39285714285714285,0.8928571428571429,-0.125,0.26785714285714285,0.8392857142857143,0.6071428571428571,0.8392857142857143,1.0,1.0
[6. 2. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9642857142857143,-1.0,-0.9107142857142857,-0.7857142857142857,-0.6964285714285714,-1.0,-1.0,-0.9107142857142857,-0.75,-0.8392857142857143,-0.6547619047619048,-0.2857142857142857,-0.5,-0.19047619047619047,-1.0,-0.8392857142857143,-0.6130952380952381,-0.5,-0.19047619047619047,0.0,0.5714285714285714,-0.8214285714285714,-0.5654761904761905,-0.22023809523809523,-0.11011904761904762,0.5357142857142857,-0.44642857142857145,-0.11011904761904762,0.4107142857142857,0.09523809523809523,0.5357142857142857,0.6964285714285714,1.0
[6. 3. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8928571428571429,-0.9464285714285714,-1.0,-1.0,-1.0,-0.8392857142857143,-1.0,-0.8928571428571429,-0.6607142857142857,-0.8928571428571429,-0.5714285714285714,-1.0,-1.0,-0.8392857142857143,-0.8928571428571429,-0.5357142857142857,-0.5714285714285714,0.0,-1.0,-0.8928571428571429,-0.5357142857142857,-0.6607142857142857,-0.125,-0.8928571428571429,-0.5714285714285714,-0.125,-0.5714285714285714,0.0,0.0,0.75
[7. 1. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8571428571428571,-0.7857142857142857,-1.0,-1.0,-1.0,-0.8571428571428571,-1.0,-0.7857142857142857,-0.2857142857142857,-0.7023809523809523,-0.2857142857142857,-1.0,-1.0,-0.7857142857142857,-0.7023809523809523,-0.2857142857142857,-0.09523809523809523,0.5714285714285714,-1.0,-0.7023809523809523,-0.2857142857142857,-0.09523809523809523,0.5714285714285714,-0.7321428571428571,-0.22023809523809523,0.5357142857142857,-0.125,0.4107142857142857,0.6607142857142857,1.0
[7. 2. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9464285714285714,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9464285714285714,-0.7321428571428571,-0.8928571428571429,-0.6964285714285714,-1.0,-1.0,-0.9464285714285714,-0.8928571428571429,-0.6964285714285714,-0.5714285714285714,0.0,-1.0,-0.8928571428571429,-0.6607142857142857,-0.5714285714285714,0.0,-0.8928571428571429,-0.6607142857142857,-0.125,-0.5714285714285714,-0.125,0.0,0.75
[8. 1. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7321428571428571,-1.0,-0.7321428571428571,-1.0,-1.0,-1.0,-1.0,-0.7321428571428571,-0.6964285714285714,0.0,-1.0,-1.0,-0.7321428571428571,-0.6964285714285714,0.0,-1.0,-0.6964285714285714,0.0,-0.7857142857142857,-0.125,-0.125,0.75
[9. 0. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,-0.75,-1.0,-0.75,-0.875,-0.125
