,[2. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 2. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 2. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 0.],[3. 2. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 2. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0. 0.],[4. 2. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.]
[3. 3. 2. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.8412698412698413,-0.6071428571428571,-0.3253968253968254,-1.0,-0.8544973544973545,-0.6507936507936508,-0.3968253968253968,-0.6984126984126984,-0.4708994708994709,-0.18253968253968253,-0.27380952380952384,-0.8015873015873016,-0.5912698412698413,-0.3558201058201058,-0.08134920634920635,-0.43253968253968256,-0.16534391534391535,0.11904761904761904,-0.1626984126984127,0.15476190476190477,-0.48412698412698413,-0.21825396825396826,0.07407407407407407,0.0,0.3492063492063492,0.3253968253968254,0.8333333333333334,-0.07142857142857142,0.2294973544973545,0.5317460317460317,0.5079365079365079,0.8333333333333334,0.38492063492063494,0.6666666666666666,0.9166666666666666,0.7817460317460317,0.9583333333333334,1.0,1.0
[3. 3. 3. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.7619047619047619,-0.2857142857142857,-1.0,-1.0,-0.8809523809523809,-0.5476190476190477,-0.9523809523809523,-0.7619047619047619,-0.3333333333333333,-0.6666666666666666,-1.0,-0.8809523809523809,-0.6190476190476191,-0.2261904761904762,-0.7976190476190477,-0.4880952380952381,-0.3333333333333333,-0.6190476190476191,-0.2619047619047619,-0.8809523809523809,-0.6190476190476191,-0.2261904761904762,-0.4880952380952381,0.0,-0.2619047619047619,0.3333333333333333,-0.6190476190476191,-0.2261904761904762,0.2619047619047619,0.0,0.3333333333333333,-0.2261904761904762,0.2619047619047619,0.6666666666666666,0.2619047619047619,0.75,0.75,1.0
[4. 1. 1. 1. 1. 1. 0. 0. 0.],-1.0,-1.0,-0.9563492063492064,-0.8492063492063492,-0.6825396825396826,-1.0,-0.8571428571428571,-0.6428571428571429,-0.4126984126984127,-0.3253968253968254,-0.07142857142857142,0.12698412698412698,0.48412698412698413,-0.75,-0.4365079365079365,-0.17063492063492064,0.047619047619047616,0.25595238095238093,0.4444444444444444,0.8809523809523809,0.8015873015873016,0.8809523809523809,-0.1111111111111111,0.14484126984126985,0.34523809523809523,0.7321428571428571,0.8412698412698413,1.0,1.0,0.6111111111111112,0.7321428571428571,0.8412698412698413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 1. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.9333333333333333,-0.8222222222222222,-0.6746031746031746,-1.0,-0.8412698412698413,-0.6753968253968254,-0.49047619047619045,-0.49206349206349204,-0.2873015873015873,-0.07539682539682539,0.13690476190476192,-0.7619047619047619,-0.5396825396825397,-0.31507936507936507,-0.09126984126984126,-0.0873015873015873,0.14682539682539683,0.5952380952380952,0.4126984126984127,0.6428571428571429,-0.3253968253968254,-0.0873015873015873,0.1388888888888889,0.3611111111111111,0.5813492063492064,0.8194444444444444,1.0,0.23809523809523808,0.45634920634920634,0.6547619047619048,0.8194444444444444,1.0,0.7420634920634921,0.8690476190476191,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.9285714285714286,-0.8373015873015873,-0.7222222222222222,-1.0,-0.8544973544973545,-0.7261904761904762,-0.5952380952380952,-0.6111111111111112,-0.47883597883597884,-0.31084656084656087,-0.2222222222222222,-0.8015873015873016,-0.6349206349206349,-0.4708994708994709,-0.27380952380952384,-0.35119047619047616,-0.16534391534391535,0.15476190476190477,0.0,0.2976190476190476,-0.48412698412698413,-0.2996031746031746,-0.09126984126984126,-0.007275132275132275,0.24206349206349206,0.4166666666666667,0.8333333333333334,-0.07142857142857142,0.15542328042328044,0.4365079365079365,0.4503968253968254,0.875,0.38492063492063494,0.6329365079365079,0.875,0.7817460317460317,0.9583333333333334,1.0,1.0
[4. 3. 1. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.8531746031746031,-0.6031746031746031,-1.0,-1.0,-0.8373015873015873,-0.5595238095238095,-0.8412698412698413,-0.5264550264550265,-0.1626984126984127,-0.08134920634920635,-1.0,-0.8412698412698413,-0.5595238095238095,-0.2222222222222222,-0.5515873015873016,-0.16534391534391535,0.3492063492063492,-0.18253968253968253,0.24206349206349206,-0.8015873015873016,-0.5,-0.14814814814814814,-0.09126984126984126,0.2996031746031746,0.3551587301587302,0.8333333333333334,-0.3968253968253968,0.0,0.35714285714285715,0.49404761904761907,0.875,0.1626984126984127,0.5317460317460317,0.9166666666666666,0.7142857142857143,0.9166666666666666,1.0,1.0
[4. 3. 2. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.9206349206349206,-0.7222222222222222,-1.0,-1.0,-0.9047619047619048,-0.7222222222222222,-0.9047619047619048,-0.7261904761904762,-0.45634920634920634,-0.4880952380952381,-1.0,-0.9047619047619048,-0.7261904761904762,-0.44642857142857145,-0.7380952380952381,-0.49603174603174605,-0.1984126984126984,-0.5317460317460317,-0.1984126984126984,-0.8809523809523809,-0.6785714285714286,-0.4007936507936508,-0.4444444444444444,-0.0992063492063492,-0.1746031746031746,0.3333333333333333,-0.6190476190476191,-0.3134920634920635,0.0873015873015873,0.0,0.4444444444444444,-0.2261904761904762,0.1746031746031746,0.5833333333333334,0.2619047619047619,0.7222222222222222,0.75,1.0
[4. 4. 1. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-0.8412698412698413,-1.0,-1.0,-1.0,-0.8174603174603174,-1.0,-0.7936507936507936,-0.3968253968253968,-0.3253968253968254,-1.0,-1.0,-0.8809523809523809,-0.5595238095238095,-0.8690476190476191,-0.5079365079365079,0.0873015873015873,-0.6587301587301587,-0.1111111111111111,-1.0,-0.8690476190476191,-0.5753968253968254,-0.5317460317460317,-0.0873015873015873,-0.1984126984126984,0.3333333333333333,-0.8571428571428571,-0.5317460317460317,-0.0873015873015873,0.0,0.5555555555555556,-0.4880952380952381,0.0,0.6111111111111112,0.0873015873015873,0.6111111111111112,0.7222222222222222,1.0
[5. 1. 1. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.9650793650793651,-0.8571428571428571,-1.0,-1.0,-0.9047619047619048,-0.7111111111111111,-0.7936507936507936,-0.5079365079365079,-0.2222222222222222,0.07142857142857142,-1.0,-0.7936507936507936,-0.5079365079365079,-0.2222222222222222,-0.23809523809523808,0.07142857142857142,0.6190476190476191,0.3968253968253968,0.6190476190476191,-0.7222222222222222,-0.3492063492063492,-0.015873015873015872,0.3412698412698413,0.5952380952380952,0.8571428571428571,1.0,-0.1111111111111111,0.23015873015873015,0.5079365079365079,0.8015873015873016,1.0,0.6111111111111112,0.8015873015873016,1.0,1.0,1.0,1.0,1.0
[5. 2. 1. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.9642857142857143,-0.8809523809523809,-1.0,-1.0,-0.9166666666666666,-0.7857142857142857,-0.8412698412698413,-0.6732804232804233,-0.4444444444444444,-0.30357142857142855,-1.0,-0.8412698412698413,-0.6402116402116402,-0.38492063492063494,-0.5,-0.2294973544973545,0.2261904761904762,0.0,0.3134920634920635,-0.8015873015873016,-0.5515873015873016,-0.2566137566137566,-0.09126984126984126,0.251984126984127,0.49404761904761907,0.9166666666666666,-0.3968253968253968,-0.09126984126984126,0.24206349206349206,0.39285714285714285,0.875,0.1626984126984127,0.49404761904761907,0.875,0.7142857142857143,0.9166666666666666,1.0,1.0
