,[1. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 1. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 2. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 1. 0. 0. 0. 0. 0.],[3. 3. 3. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 1. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 0. 0. 0. 0. 0.],[4. 3. 2. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 2. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 0. 0. 0. 0. 0. 0.],[5. 4. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 1. 0. 0. 0. 0. 0. 0.],[6. 3. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 2. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 0. 0. 0. 0. 0. 0. 0.],[9. 0. 0. 0. 0. 0. 0. 0. 0.]
[3. 3. 2. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.7685185185185185,-0.47619047619047616,-0.15873015873015872,-0.8015873015873016,-0.5357142857142857,-0.24206349206349206,0.08134920634920635,-0.31746031746031744,-0.0,0.3333333333333333,-0.48412698412698413,-0.21825396825396826,0.07407407407407407,-0.0,0.3492063492063492,0.3253968253968254,-0.07142857142857142,0.2294973544973545,0.5317460317460317,0.5079365079365079,0.8333333333333334,0.38492063492063494,0.6666666666666666,0.9166666666666666,0.7817460317460317,0.9583333333333334,1.0,1.0
[3. 3. 3. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.7619047619047619,-0.2857142857142857,-1.0,-0.8809523809523809,-0.5476190476190477,-0.011904761904761904,-0.7619047619047619,-0.3333333333333333,-0.0,-0.8809523809523809,-0.6190476190476191,-0.2261904761904762,-0.4880952380952381,-0.0,-0.2619047619047619,-0.6190476190476191,-0.2261904761904762,0.2619047619047619,-0.0,0.3333333333333333,-0.2261904761904762,0.2619047619047619,0.6666666666666666,0.2619047619047619,0.75,0.75,1.0
[4. 1. 1. 1. 1. 1. 0. 0. 0.],-1.0,-1.0,-0.8571428571428571,-0.6428571428571429,-0.4126984126984127,-0.6388888888888888,-0.3253968253968254,-0.07142857142857142,0.12698412698412698,0.3253968253968254,0.48412698412698413,0.8809523809523809,-0.0,0.25595238095238093,0.4444444444444444,0.8015873015873016,0.8809523809523809,1.0,0.6111111111111112,0.7321428571428571,0.8412698412698413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 1. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.8412698412698413,-0.6476190476190476,-0.4396825396825397,-0.6785714285714286,-0.44642857142857145,-0.21984126984126984,-0.001984126984126984,-0.0,0.21825396825396826,0.6190476190476191,-0.25595238095238093,-0.0,0.2361111111111111,0.45634920634920634,0.6607142857142857,0.8690476190476191,0.23809523809523808,0.45634920634920634,0.6547619047619048,0.8194444444444444,1.0,0.7420634920634921,0.8690476190476191,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.8544973544973545,-0.6904761904761905,-0.5079365079365079,-0.7420634920634921,-0.5555555555555556,-0.37566137566137564,-0.1626984126984127,-0.2698412698412698,-0.07407407407407407,0.2261904761904762,-0.4444444444444444,-0.2361111111111111,-0.0,0.07407407407407407,0.3492063492063492,0.5079365079365079,-0.07142857142857142,0.15542328042328044,0.4365079365079365,0.4503968253968254,0.875,0.38492063492063494,0.6329365079365079,0.875,0.7817460317460317,0.9583333333333334,1.0,1.0
[4. 3. 1. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.7976190476190477,-0.49206349206349204,-1.0,-0.7876984126984127,-0.44576719576719576,-0.08134920634920635,-0.4126984126984127,-0.0,0.4880952380952381,-0.8015873015873016,-0.45634920634920634,-0.07407407407407407,-0.0,0.3968253968253968,0.45634920634920634,-0.3968253968253968,-0.0,0.35714285714285715,0.49404761904761907,0.875,0.1626984126984127,0.5317460317460317,0.9166666666666666,0.7142857142857143,0.9166666666666666,1.0,1.0
[4. 3. 2. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.8809523809523809,-0.6349206349206349,-1.0,-0.873015873015873,-0.6428571428571429,-0.29365079365079366,-0.6547619047619048,-0.3492063492063492,-0.0,-0.8809523809523809,-0.6607142857142857,-0.3492063492063492,-0.3968253968253968,-0.0,-0.0873015873015873,-0.6190476190476191,-0.3134920634920635,0.0873015873015873,-0.0,0.4444444444444444,-0.2261904761904762,0.1746031746031746,0.5833333333333334,0.2619047619047619,0.7222222222222222,0.75,1.0
[4. 4. 1. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-1.0,-0.8174603174603174,-1.0,-1.0,-0.7936507936507936,-0.3968253968253968,-0.7698412698412699,-0.3253968253968254,0.2619047619047619,-1.0,-0.8690476190476191,-0.5079365079365079,-0.45634920634920634,0.0873015873015873,-0.0,-0.8571428571428571,-0.5317460317460317,-0.0873015873015873,-0.0,0.5555555555555556,-0.4880952380952381,-0.0,0.6111111111111112,0.0873015873015873,0.6111111111111112,0.7222222222222222,1.0
[5. 1. 1. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.9047619047619048,-0.7111111111111111,-1.0,-0.7936507936507936,-0.5079365079365079,-0.2222222222222222,-0.23809523809523808,0.07142857142857142,0.6190476190476191,-0.6111111111111112,-0.23809523809523808,0.07142857142857142,0.3968253968253968,0.6190476190476191,0.8571428571428571,-0.0,0.3412698412698413,0.5952380952380952,0.8571428571428571,1.0,0.6111111111111112,0.8015873015873016,1.0,1.0,1.0,1.0,1.0
[5. 2. 1. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.9166666666666666,-0.7619047619047619,-1.0,-0.8412698412698413,-0.6402116402116402,-0.38492063492063494,-0.5,-0.2294973544973545,0.2261904761904762,-0.7321428571428571,-0.45634920634920634,-0.15542328042328044,-0.0,0.3134920634920635,0.5317460317460317,-0.3412698412698413,-0.0,0.3492063492063492,0.49404761904761907,0.9166666666666666,0.1626984126984127,0.49404761904761907,0.875,0.7142857142857143,0.9166666666666666,1.0,1.0
