,[2. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 2. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 2. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 0.],[3. 2. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 2. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0. 0.],[4. 2. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.]
[4. 1. 1. 1. 1. 1. 1. 0. 0.],-0.0,-0.0,-0.09523809523809523,-0.2261904761904762,-0.3253968253968254,-0.0,-0.0,-0.047619047619047616,0.007936507936507936,-0.0,0.10317460317460317,0.40476190476190477,0.40476190476190477,-0.0,0.0,0.07936507936507936,0.34523809523809523,0.09523809523809523,0.34523809523809523,0.7023809523809523,0.2857142857142857,0.6428571428571429,0.0,0.09523809523809523,0.34523809523809523,0.34523809523809523,0.7023809523809523,0.6428571428571429,1.0,0.09523809523809523,0.34523809523809523,0.7023809523809523,0.7023809523809523,1.0,0.34523809523809523,0.7023809523809523,1.0,0.7023809523809523,1.0,1.0,1.0
[4. 2. 1. 1. 1. 1. 0. 0. 0.],-0.0,-0.09523809523809523,-0.1523809523809524,-0.1626984126984127,-0.12698412698412698,-0.0,-0.06349206349206349,-0.07103174603174603,-0.03015873015873016,-0.0,0.050793650793650794,0.16666666666666666,0.21428571428571427,-0.0,-0.0,0.04206349206349207,0.13690476190476192,0.0869047619047619,0.17857142857142858,0.34523809523809523,0.17857142857142858,0.2857142857142857,0.031746031746031744,0.0869047619047619,0.17857142857142858,0.22023809523809523,0.34523809523809523,0.34523809523809523,0.5833333333333334,0.11587301587301588,0.22023809523809523,0.34523809523809523,0.40674603174603174,0.5833333333333334,0.2619047619047619,0.40674603174603174,0.6527777777777778,0.46825396825396826,0.6527777777777778,0.7222222222222222,1.0
[4. 2. 2. 1. 1. 0. 0. 0. 0.],-0.2222222222222222,-0.2261904761904762,-0.17063492063492064,-0.10396825396825397,-0.03968253968253968,-0.2222222222222222,-0.16534391534391535,-0.10238095238095238,-0.03968253968253968,-0.0761904761904762,-0.015873015873015872,0.03968253968253968,0.07936507936507936,-0.07936507936507936,-0.04206349206349207,-0.0,0.031746031746031744,0.031746031746031744,0.06349206349206349,0.09523809523809523,0.07936507936507936,0.07142857142857142,0.007936507936507936,0.03968253968253968,0.06349206349206349,0.10582010582010581,0.09523809523809523,0.11904761904761904,0.16666666666666666,0.0873015873015873,0.10582010582010581,0.09523809523809523,0.15873015873015872,0.16666666666666666,0.15873015873015872,0.15873015873015872,0.2222222222222222,0.23809523809523808,0.2222222222222222,0.3333333333333333,0.4444444444444444
[4. 2. 2. 2. 0. 0. 0. 0. 0.],-1.0,-0.4444444444444444,-0.16666666666666666,-0.047619047619047616,-0.007936507936507936,-0.6527777777777778,-0.34523809523809523,-0.13690476190476192,-0.031746031746031744,-0.2619047619047619,-0.07936507936507936,-0.0,-0.0,-0.34523809523809523,-0.13690476190476192,-0.031746031746031744,-0.0,-0.07936507936507936,0.0,0.0,0.0,0.0,-0.16666666666666666,-0.03968253968253968,0.0,0.0,0.0,0.0,0.0,-0.03968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 3. 1. 1. 1. 0. 0. 0. 0.],-0.3333333333333333,-0.34523809523809523,-0.3142857142857143,-0.25,-0.11904761904761904,-0.16666666666666666,-0.17857142857142858,-0.14246031746031745,-0.05555555555555555,-0.06587301587301587,-0.015873015873015872,0.07936507936507936,0.05952380952380952,-0.09523809523809523,-0.0869047619047619,-0.031746031746031744,0.07936507936507936,-0.0,0.06349206349206349,0.09523809523809523,0.047619047619047616,0.09523809523809523,-0.031746031746031744,0.0,0.07936507936507936,0.06349206349206349,0.12698412698412698,0.09523809523809523,0.16666666666666666,0.023809523809523808,0.07936507936507936,0.15873015873015872,0.12698412698412698,0.16666666666666666,0.07936507936507936,0.15873015873015872,0.2222222222222222,0.15873015873015872,0.2777777777777778,0.2777777777777778,0.4444444444444444
[4. 3. 2. 1. 0. 0. 0. 0. 0.],-1.0,-0.5833333333333334,-0.34523809523809523,-0.16666666666666666,-0.047619047619047616,-0.5833333333333334,-0.34523809523809523,-0.17857142857142858,-0.05952380952380952,-0.17857142857142858,-0.06349206349206349,-0.0,-0.0,-0.34523809523809523,-0.17857142857142858,-0.06349206349206349,-0.0,-0.06349206349206349,-0.0,0.0,0.0,0.0,-0.16666666666666666,-0.05952380952380952,0.0,0.0,0.0,0.0,0.0,-0.03968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 3. 3. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.5833333333333334,-0.2261904761904762,-0.047619047619047616,-1.0,-0.5833333333333334,-0.2261904761904762,-0.047619047619047616,-0.2261904761904762,-0.047619047619047616,-0.0,-0.0,-0.7023809523809523,-0.34523809523809523,-0.09523809523809523,-0.0,-0.09523809523809523,-0.0,-0.0,0.0,0.0,-0.40476190476190477,-0.11904761904761904,0.0,0.0,0.0,0.0,0.0,-0.11904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 4. 1. 1. 0. 0. 0. 0. 0.],-1.0,-0.7023809523809523,-0.5238095238095238,-0.35714285714285715,-0.16666666666666666,-0.5833333333333334,-0.40476190476190477,-0.2619047619047619,-0.11904761904761904,-0.17857142857142858,-0.07936507936507936,-0.0,-0.0,-0.2857142857142857,-0.17857142857142858,-0.07936507936507936,-0.0,-0.047619047619047616,-0.0,-0.0,-0.0,0.0,-0.16666666666666666,-0.07936507936507936,0.0,0.0,0.0,0.0,0.0,-0.03968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 4. 2. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.5833333333333334,-0.2261904761904762,-0.047619047619047616,-1.0,-0.6428571428571429,-0.2857142857142857,-0.07142857142857142,-0.34523809523809523,-0.09523809523809523,-0.0,-0.0,-0.6428571428571429,-0.2857142857142857,-0.07142857142857142,-0.0,-0.09523809523809523,-0.0,-0.0,-0.0,-0.0,-0.40476190476190477,-0.11904761904761904,0.0,0.0,0.0,0.0,0.0,-0.11904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[5. 1. 1. 1. 1. 1. 0. 0. 0.],-0.0,-0.15873015873015872,-0.2619047619047619,-0.34523809523809523,-0.40476190476190477,-0.0,-0.07936507936507936,-0.13690476190476192,-0.12698412698412698,-0.031746031746031744,-0.007936507936507936,0.16666666666666666,0.16666666666666666,-0.0,-0.031746031746031744,-0.007936507936507936,0.16666666666666666,0.031746031746031744,0.16666666666666666,0.40476190476190477,0.16666666666666666,0.40476190476190477,-0.0,0.023809523809523808,0.13690476190476192,0.13690476190476192,0.34523809523809523,0.34523809523809523,0.5833333333333334,0.031746031746031744,0.13690476190476192,0.34523809523809523,0.34523809523809523,0.6527777777777778,0.13690476190476192,0.34523809523809523,0.6527777777777778,0.34523809523809523,0.6527777777777778,0.6527777777777778,1.0
