,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[3. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.08080808080808081,-0.09437229437229437,-0.07922077922077922,-0.03535353535353535,0.045454545454545456,-0.030303030303030304,-0.0316017316017316,-0.010822510822510822,0.032467532467532464,-0.0,0.021645021645021644,0.050505050505050504,0.030303030303030304,-0.010822510822510822,0.0,0.032467532467532464,0.07575757575757576,0.021645021645021644,0.050505050505050504,0.06060606060606061,0.050505050505050504,0.10101010101010101,0.008658008658008658,0.032467532467532464,0.07575757575757576,0.050505050505050504,0.10101010101010101,0.10101010101010101,0.18181818181818182,0.032467532467532464,0.07575757575757576,0.15151515151515152,0.10101010101010101,0.18181818181818182,0.07575757575757576,0.15151515151515152,0.18181818181818182,0.15151515151515152,0.2727272727272727,0.2727272727272727,0.45454545454545453
[3. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0.],-0.45454545454545453,-0.2787878787878788,-0.17554112554112555,-0.09437229437229437,-0.032467532467532464,-0.0,-0.14242424242424243,-0.07835497835497836,-0.02886002886002886,-0.0,-0.021645021645021644,-0.0,0.0,0.0,-0.0670995670995671,-0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0.],-1.0,-0.6181818181818182,-0.2787878787878788,-0.08787878787878788,-0.015151515151515152,-0.0,-0.37424242424242427,-0.14242424242424243,-0.030303030303030304,-0.0,-0.050505050505050504,-0.0,-0.0,0.0,-0.19696969696969696,-0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0.],-1.0,-0.6606060606060606,-0.37424242424242427,-0.1696969696969697,-0.045454545454545456,-0.0,-0.32651515151515154,-0.14242424242424243,-0.03787878787878788,-0.0,-0.030303030303030304,-0.0,-0.0,-0.0,-0.19696969696969696,-0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],-0.0,-0.0,-0.032467532467532464,-0.05670995670995671,-0.047619047619047616,0.0670995670995671,-0.0,-0.010822510822510822,-0.0021645021645021645,0.0670995670995671,0.010822510822510822,0.0670995670995671,0.19696969696969696,0.19696969696969696,-0.0,0.008658008658008658,0.05670995670995671,0.1696969696969697,0.05670995670995671,0.1696969696969697,0.37575757575757573,0.14242424242424243,0.32727272727272727,0.010822510822510822,0.05670995670995671,0.1696969696969697,0.1696969696969697,0.37575757575757573,0.32727272727272727,0.6181818181818182,0.05670995670995671,0.1696969696969697,0.37575757575757573,0.37575757575757573,0.6181818181818182,0.1696969696969697,0.37575757575757573,0.6727272727272727,0.37575757575757573,0.6727272727272727,0.6727272727272727,1.0
[4. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.08080808080808081,-0.09437229437229437,-0.08051948051948052,-0.04401154401154401,0.012987012987012988,-0.03787878787878788,-0.03924963924963925,-0.0183982683982684,0.01948051948051948,-0.0,0.025974025974025976,0.045454545454545456,0.06060606060606061,-0.008658008658008658,-0.0,0.021645021645021644,0.03787878787878788,0.027056277056277056,0.050505050505050504,0.10101010101010101,0.050505050505050504,0.08080808080808081,0.008658008658008658,0.027056277056277056,0.050505050505050504,0.06313131313131314,0.10101010101010101,0.10101010101010101,0.18181818181818182,0.032467532467532464,0.06313131313131314,0.10101010101010101,0.12626262626262627,0.18181818181818182,0.07575757575757576,0.12626262626262627,0.22727272727272727,0.15151515151515152,0.22727272727272727,0.2727272727272727,0.45454545454545453
[4. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0.],-0.45454545454545453,-0.2787878787878788,-0.17554112554112555,-0.09437229437229437,-0.032467532467532464,-0.0,-0.1696969696969697,-0.09437229437229437,-0.03607503607503607,-0.0,-0.032467532467532464,-0.0,-0.0,-0.0,-0.05670995670995671,-0.021645021645021644,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0.],-1.0,-0.6181818181818182,-0.2787878787878788,-0.08787878787878788,-0.015151515151515152,-0.0,-0.421969696969697,-0.1696969696969697,-0.03787878787878788,-0.0,-0.07575757575757576,-0.0,-0.0,-0.0,-0.1696969696969697,-0.03787878787878788,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.45454545454545453,-0.32727272727272727,-0.24177489177489178,-0.16017316017316016,-0.07575757575757576,-0.0,-0.14242424242424243,-0.09437229437229437,-0.04329004329004329,-0.0,-0.021645021645021644,-0.0,-0.0,-0.0,-0.05670995670995671,-0.027056277056277056,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0.],-1.0,-0.6606060606060606,-0.37424242424242427,-0.1696969696969697,-0.045454545454545456,-0.0,-0.37424242424242427,-0.17323232323232324,-0.050505050505050504,-0.0,-0.050505050505050504,-0.0,-0.0,-0.0,-0.1696969696969697,-0.050505050505050504,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
