,[2. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[3. 3. 1. 1. 1. 1. 1. 0. 0. 0.],-1.0,-0.8111111111111111,-0.5726190476190476,-0.3523809523809524,-0.16666666666666666,-0.7666666666666667,-0.4492063492063492,-0.1988095238095238,0.0,0.16666666666666666,0.0,0.20833333333333334,0.36507936507936506,0.6428571428571429,0.7380952380952381,-0.24166666666666667,-0.0,0.18095238095238095,0.3273809523809524,0.42857142857142855,0.5535714285714286,0.6587301587301587,0.8928571428571429,0.7595238095238095,0.8313492063492064,1.0,0.375,0.5063492063492063,0.6071428571428571,0.6904761904761905,0.8511904761904762,0.8928571428571429,1.0,1.0,1.0,1.0,0.8277777777777777,0.8511904761904762,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 1. 1. 0. 0. 0. 0.],-1.0,-0.7638888888888888,-0.5261904761904762,-0.3130952380952381,-0.12063492063492064,-0.7333333333333333,-0.48095238095238096,-0.2611111111111111,-0.0623015873015873,0.12063492063492064,-0.20833333333333334,0.0,0.19404761904761905,0.2857142857142857,0.48928571428571427,-0.3416666666666667,-0.12936507936507938,0.061507936507936505,0.23333333333333334,0.13015873015873017,0.31706349206349205,0.4857142857142857,0.6170634920634921,0.4392857142857143,0.6031746031746031,0.8888888888888888,0.13333333333333333,0.31825396825396823,0.4722222222222222,0.6047619047619047,0.575,0.7130952380952381,0.9333333333333333,0.819047619047619,0.9166666666666666,1.0,0.5785714285714286,0.6944444444444444,0.7892857142857143,0.888095238095238,0.95,1.0,1.0,0.8809523809523809,0.9226190476190477,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 1. 0. 0. 0. 0. 0.],-1.0,-0.7333333333333333,-0.5,-0.2857142857142857,-0.07222222222222222,-0.7222222222222222,-0.5158730158730159,-0.32896825396825397,-0.1380952380952381,0.07222222222222222,-0.36507936507936506,-0.19404761904761905,0.0,-0.06626984126984127,0.16666666666666666,-0.4166666666666667,-0.24404761904761904,-0.06468253968253969,0.12817460317460316,-0.12063492063492064,0.06481481481481481,0.28253968253968254,0.21944444444444444,0.12063492063492064,0.3253968253968254,0.5611111111111111,-0.05952380952380952,0.12698412698412698,0.319047619047619,0.5214285714285715,0.26071428571428573,0.4722222222222222,0.6916666666666667,0.5063492063492063,0.7388888888888889,0.8444444444444444,0.31746031746031744,0.49603174603174605,0.675,0.6301587301587301,0.8333333333333334,0.8444444444444444,1.0,0.6547619047619048,0.7976190476190477,0.9277777777777778,0.9083333333333333,1.0,0.8928571428571429,0.9722222222222222,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 1. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.7595238095238095,-0.4392857142857143,-0.12063492063492064,-1.0,-0.8313492063492064,-0.5261904761904762,-0.19166666666666668,0.12063492063492064,-0.6428571428571429,-0.2857142857142857,0.06626984126984127,0.0,0.375,-0.7916666666666666,-0.5297619047619048,-0.23333333333333334,0.06190476190476191,-0.3373015873015873,-0.0,0.30952380952380953,0.31666666666666665,-0.07817460317460317,0.24761904761904763,0.6333333333333333,-0.44642857142857145,-0.12063492063492064,0.19007936507936507,0.45595238095238094,0.1384920634920635,0.4595238095238095,0.8083333333333333,0.3976190476190476,0.6833333333333333,0.8277777777777777,-0.0,0.3242063492063492,0.5797619047619048,0.6178571428571429,0.8333333333333334,0.8277777777777777,1.0,0.4642857142857143,0.7035714285714286,0.8583333333333333,0.9361111111111111,1.0,0.8273809523809523,0.9361111111111111,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 2. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.7916666666666666,-0.47619047619047616,-0.08333333333333333,-1.0,-0.8571428571428571,-0.6190476190476191,-0.30952380952380953,0.08333333333333333,-0.7380952380952381,-0.48928571428571427,-0.16666666666666666,-0.375,0.0,-0.8333333333333334,-0.6190476190476191,-0.36666666666666664,-0.06428571428571428,-0.5285714285714286,-0.2654761904761905,0.075,-0.15,-0.3619047619047619,-0.075,0.10833333333333334,-0.5714285714285714,-0.30238095238095236,0.004761904761904762,0.35595238095238096,-0.19047619047619047,0.15,0.4,-0.0,0.375,0.43333333333333335,-0.23809523809523808,0.07380952380952381,0.4119047619047619,0.225,0.625,0.43333333333333335,0.8666666666666667,0.14285714285714285,0.46785714285714286,0.7833333333333333,0.6583333333333333,0.8666666666666667,0.5238095238095238,0.8083333333333333,0.9666666666666667,0.8333333333333334,1.0,1.0,1.0
[4. 1. 1. 1. 1. 1. 1. 1. 0. 0.],-1.0,-0.9361111111111111,-0.825,-0.6833333333333333,-0.5277777777777778,-0.7222222222222222,-0.48333333333333334,-0.2833333333333333,-0.12222222222222222,0.0,0.24166666666666667,0.3416666666666667,0.4166666666666667,0.7916666666666666,0.8333333333333334,0.0,0.1638888888888889,0.2833333333333333,0.375,0.7666666666666667,0.7916666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,0.6666666666666666,0.6888888888888889,0.7333333333333333,0.7916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 1. 1. 1. 1. 1. 0. 0. 0.],-1.0,-0.8916666666666667,-0.7535714285714286,-0.6166666666666667,-0.48412698412698413,-0.6777777777777778,-0.4853174603174603,-0.3281746031746032,-0.1873015873015873,-0.05952380952380952,0.0,0.12936507936507938,0.24404761904761904,0.5297619047619048,0.6190476190476191,-0.1638888888888889,0.0,0.1361111111111111,0.25496031746031744,0.46746031746031746,0.560515873015873,0.6507936507936508,0.8690476190476191,0.8511904761904762,0.8928571428571429,1.0,0.375,0.46746031746031746,0.5535714285714286,0.6428571428571429,0.8053571428571429,0.8621031746031746,1.0,1.0,1.0,1.0,0.8277777777777777,0.8511904761904762,0.8928571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 1. 1. 1. 0. 0. 0. 0.],-1.0,-0.85,-0.7047619047619048,-0.5773809523809523,-0.4579365079365079,-0.6555555555555556,-0.5047619047619047,-0.375,-0.2523809523809524,-0.12698412698412698,-0.18095238095238095,-0.061507936507936505,0.06468253968253969,0.23333333333333334,0.36666666666666664,-0.2833333333333333,-0.1361111111111111,0.0,0.1353174603174603,0.1880952380952381,0.31706349206349205,0.45595238095238094,0.6031746031746031,0.575,0.7,0.9166666666666666,0.13333333333333333,0.26031746031746034,0.38333333333333336,0.5119047619047619,0.5329365079365079,0.6531746031746032,0.8888888888888888,0.8535714285714285,0.9333333333333333,1.0,0.5785714285714286,0.6686507936507936,0.763095238095238,0.8535714285714285,0.9333333333333333,1.0,1.0,0.8809523809523809,0.9226190476190477,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 2. 1. 0. 0. 0. 0. 0.],-1.0,-0.8194444444444444,-0.6785714285714286,-0.5642857142857143,-0.46111111111111114,-0.6555555555555556,-0.5297619047619048,-0.4261904761904762,-0.3281746031746032,-0.21666666666666667,-0.3273809523809524,-0.23333333333333334,-0.12817460317460316,-0.06190476190476191,0.06428571428571428,-0.375,-0.25496031746031744,-0.1353174603174603,0.0,-0.05714285714285714,0.06408730158730158,0.225,0.2503968253968254,0.26071428571428573,0.42936507936507934,0.65,-0.05952380952380952,0.06349206349206349,0.2003968253968254,0.375,0.2382936507936508,0.3873015873015873,0.5944444444444444,0.5682539682539682,0.7736111111111111,0.8444444444444444,0.31746031746031744,0.44841269841269843,0.6075396825396825,0.5900793650793651,0.7777777777777778,0.8763888888888889,1.0,0.6547619047619048,0.7757936507936508,0.9194444444444444,0.8763888888888889,1.0,0.8928571428571429,0.9722222222222222,1.0,1.0,1.0,1.0,1.0
[4. 3. 1. 1. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.8793650793650793,-0.6752380952380952,-0.4507936507936508,-1.0,-0.8174603174603174,-0.5595238095238095,-0.30238095238095236,-0.06349206349206349,-0.42857142857142855,-0.13015873015873017,0.12063492063492064,0.3373015873015873,0.5285714285714286,-0.7666666666666667,-0.46746031746031746,-0.1880952380952381,0.05714285714285714,0.0,0.25952380952380955,0.46190476190476193,0.6880952380952381,0.42857142857142855,0.6222222222222222,0.9333333333333333,-0.3,-0.0,0.24126984126984127,0.43333333333333335,0.46746031746031746,0.6420634920634921,0.9333333333333333,0.8174603174603174,0.9111111111111111,1.0,0.28888888888888886,0.5063492063492063,0.6619047619047619,0.861904761904762,0.9333333333333333,1.0,1.0,0.7777777777777778,0.861904761904762,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
