,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[3. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0.],-1.0,-0.6727272727272727,-0.48484848484848486,-0.3463203463203463,-0.22424242424242424,-0.09090909090909091,-0.42424242424242425,-0.3268398268398268,-0.2329004329004329,-0.13333333333333333,0.0,-0.2510822510822511,-0.16623376623376623,-0.06666666666666667,-0.11082251082251082,0.006060606060606061,-0.15151515151515152,-0.05194805194805195,0.05887445887445888,0.2,0.006060606060606061,0.12207792207792208,0.30303030303030304,0.19393939393939394,0.27705627705627706,0.43636363636363634,0.5757575757575758,0.17316017316017315,0.2878787878787879,0.4303030303030303,0.6545454545454545,0.3367965367965368,0.503030303030303,0.6363636363636364,0.6060606060606061,0.8303030303030303,0.8787878787878788,0.487012987012987,0.6103896103896104,0.7757575757575758,0.6545454545454545,0.8666666666666667,0.8787878787878788,1.0,0.7489177489177489,0.8636363636363636,1.0,0.9030303030303031,1.0,0.9242424242424242,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.805050505050505,-0.5562770562770563,-0.3168831168831169,-0.10101010101010101,-0.7737373737373737,-0.45454545454545453,-0.1774891774891775,0.05483405483405483,0.2510822510822511,0.0,0.24963924963924963,0.44083694083694086,0.6883116883116883,0.803030303030303,-0.2787878787878788,-0.0,0.21933621933621933,0.3961038961038961,0.44646464646464645,0.6075036075036075,0.7373737373737373,0.9191919191919192,0.7848484848484848,0.8737373737373737,1.0,0.3333333333333333,0.5151515151515151,0.6479076479076479,0.7575757575757576,0.8636363636363636,0.9191919191919192,1.0,1.0,1.0,1.0,0.8080808080808081,0.8636363636363636,0.9191919191919192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.804040404040404,-0.5707792207792208,-0.3359307359307359,-0.10966810966810966,-0.7878787878787878,-0.5382034632034632,-0.29292929292929293,-0.05678210678210678,0.16623376623376623,-0.24963924963924963,0.0,0.23766233766233766,0.3246753246753247,0.5666666666666667,-0.4166666666666667,-0.1738816738816739,0.05634920634920635,0.2683982683982684,0.11832611832611832,0.34819624819624817,0.5555555555555556,0.6722222222222223,0.45714285714285713,0.6555555555555556,0.9191919191919192,0.06060606060606061,0.29105339105339106,0.48722943722943723,0.6537878787878788,0.5813852813852813,0.7502525252525253,0.9515151515151515,0.8393939393939394,0.9393939393939394,1.0,0.5303030303030303,0.6904761904761905,0.8136363636363636,0.8994949494949495,0.9636363636363636,1.0,1.0,0.8636363636363636,0.9295454545454546,0.9757575757575757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.8227272727272728,-0.6093073593073594,-0.3800865800865801,-0.13131313131313133,-0.8181818181818182,-0.6179653679653679,-0.4126984126984127,-0.18917748917748917,0.06666666666666667,-0.44083694083694086,-0.23766233766233766,0.0,-0.06103896103896104,0.23030303030303031,-0.5303030303030303,-0.329004329004329,-0.11601731601731602,0.11861471861471862,-0.16623376623376623,0.05988455988455989,0.3282828282828283,0.2686868686868687,0.11082251082251082,0.3606060606060606,0.6363636363636364,-0.1645021645021645,0.06060606060606061,0.2955266955266955,0.5424242424242425,0.24069264069264068,0.49595959595959593,0.7454545454545455,0.5212121212121212,0.7818181818181819,0.8666666666666667,0.23809523809523808,0.46060606060606063,0.6797979797979798,0.6363636363636364,0.8606060606060606,0.8666666666666667,1.0,0.6103896103896104,0.7909090909090909,0.9393939393939394,0.9212121212121213,1.0,0.8787878787878788,0.9757575757575757,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.8067099567099567,-0.49956709956709955,-0.1645021645021645,-1.0,-0.8668831168831169,-0.5822510822510822,-0.2329004329004329,0.11082251082251082,-0.6883116883116883,-0.3246753246753247,0.06103896103896104,0.0,0.41818181818181815,-0.8409090909090909,-0.5822510822510822,-0.2683982683982684,0.05757575757575758,-0.36796536796536794,-0.0,0.34545454545454546,0.36363636363636365,-0.0722943722943723,0.2878787878787879,0.696969696969697,-0.5151515151515151,-0.16796536796536796,0.1761904761904762,0.47424242424242424,0.1277056277056277,0.48484848484848486,0.8424242424242424,0.42727272727272725,0.7333333333333333,0.8545454545454545,-0.06060606060606061,0.30043290043290044,0.5893939393939394,0.6303030303030303,0.8606060606060606,0.8545454545454545,1.0,0.4303030303030303,0.7045454545454546,0.8787878787878788,0.9454545454545454,1.0,0.8196969696969697,0.9454545454545454,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.8674242424242424,-0.6060606060606061,-0.22727272727272727,-1.0,-0.9090909090909091,-0.7121212121212122,-0.41515151515151516,-0.006060606060606061,-0.803030303030303,-0.5666666666666667,-0.23030303030303031,-0.41818181818181815,0.0,-0.8939393939393939,-0.7045454545454546,-0.4484848484848485,-0.12272727272727273,-0.5893939393939394,-0.30757575757575756,0.0696969696969697,-0.1393939393939394,-0.3878787878787879,-0.0696969696969697,0.18787878787878787,-0.6666666666666666,-0.39090909090909093,-0.05757575757575758,0.33181818181818185,-0.23787878787878788,0.1393939393939394,0.45454545454545453,-0.0,0.41818181818181815,0.4666666666666667,-0.3333333333333333,0.007575757575757576,0.38484848484848483,0.20909090909090908,0.6484848484848484,0.4666666666666667,0.8909090909090909,0.07272727272727272,0.43787878787878787,0.7878787878787878,0.6757575757575758,0.8909090909090909,0.4909090909090909,0.8090909090909091,0.9727272727272728,0.8303030303030303,1.0,1.0,1.0
[4. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],-1.0,-1.0,-0.9030303030303031,-0.746969696969697,-0.5636363636363636,-0.3787878787878788,-0.6909090909090909,-0.41818181818181815,-0.18787878787878787,0.0,0.15151515151515152,0.2787878787878788,0.4166666666666667,0.5303030303030303,0.8409090909090909,0.8939393939393939,0.0,0.21515151515151515,0.37424242424242427,0.5037878787878788,0.7878787878787878,0.8409090909090909,0.8939393939393939,1.0,1.0,1.0,1.0,0.6545454545454545,0.7242424242424242,0.7984848484848485,0.8674242424242424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.8797979797979798,-0.7229437229437229,-0.5575757575757576,-0.38961038961038963,-0.701010101010101,-0.48787878787878786,-0.2946608946608947,-0.113997113997114,0.05194805194805195,0.0,0.1738816738816739,0.329004329004329,0.5822510822510822,0.7045454545454546,-0.21515151515151515,0.0,0.18398268398268397,0.3463203463203463,0.4808080808080808,0.6125541125541125,0.7323232323232324,0.9015151515151515,0.8636363636363636,0.9191919191919192,1.0,0.3333333333333333,0.4808080808080808,0.6075036075036075,0.7272727272727273,0.8242424242424242,0.8964646464646465,1.0,1.0,1.0,1.0,0.8080808080808081,0.8636363636363636,0.9191919191919192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.8712121212121212,-0.724025974025974,-0.574025974025974,-0.41774891774891776,-0.7313131313131314,-0.5571428571428572,-0.39466089466089466,-0.2305916305916306,-0.05887445887445888,-0.21933621933621933,-0.05634920634920635,0.11601731601731602,0.2683982683982684,0.4484848484848485,-0.37424242424242427,-0.18398268398268397,0.0,0.18614718614718614,0.17186147186147185,0.34819624819624817,0.5328282828282829,0.6555555555555556,0.5813852813852813,0.7404040404040404,0.9393939393939394,0.06060606060606061,0.23751803751803752,0.40923520923520923,0.5833333333333334,0.5427489177489178,0.6992424242424242,0.9191919191919192,0.8694444444444445,0.9515151515151515,1.0,0.5303030303030303,0.666991341991342,0.793939393939394,0.8694444444444445,0.9515151515151515,1.0,1.0,0.8636363636363636,0.9295454545454546,0.9757575757575757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.8787878787878788,-0.7489177489177489,-0.6207792207792208,-0.48484848484848486,-0.7757575757575758,-0.6271645021645021,-0.49523809523809526,-0.3608225108225108,-0.2,-0.3961038961038961,-0.2683982683982684,-0.11861471861471862,-0.05757575757575758,0.12272727272727273,-0.5037878787878788,-0.3463203463203463,-0.18614718614718614,0.0,-0.10649350649350649,0.05930735930735931,0.2787878787878788,0.2909090909090909,0.24069264069264068,0.4590909090909091,0.7090909090909091,-0.1645021645021645,0.0008658008658008658,0.18528138528138527,0.41818181818181815,0.22077922077922077,0.41818181818181815,0.6606060606060606,0.5787878787878787,0.8121212121212121,0.8666666666666667,0.23809523809523808,0.4155844155844156,0.6212121212121212,0.5984848484848485,0.8151515151515152,0.8939393939393939,1.0,0.6103896103896104,0.7712121212121212,0.9333333333333333,0.8939393939393939,1.0,0.8787878787878788,0.9757575757575757,1.0,1.0,1.0,1.0,1.0
