,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[3. 3. 1. 1. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.773015873015873,-0.49523809523809526,-0.23492063492063492,0.0,-0.7666666666666667,-0.42857142857142855,-0.13015873015873017,0.12063492063492064,0.0,0.2777777777777778,0.49047619047619045,0.7142857142857143,-0.3,-0.0,0.24126984126984127,0.43333333333333335,0.42857142857142855,0.6222222222222222,0.9333333333333333,0.773015873015873,0.8888888888888888,0.28888888888888886,0.5063492063492063,0.6619047619047619,0.861904761904762,0.9333333333333333,1.0,1.0,0.7777777777777778,0.861904761904762,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 1. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.7849206349206349,-0.5261904761904762,-0.26031746031746034,0.0,-0.7916666666666666,-0.5337301587301587,-0.26825396825396824,0.0,-0.2777777777777778,0.0,0.28253968253968254,0.31666666666666665,-0.44642857142857145,-0.19285714285714287,0.06335978835978837,0.30952380952380953,0.06626984126984127,0.3412698412698413,0.6916666666666667,0.3976190476190476,0.6666666666666666,-0.0,0.2623015873015873,0.4996031746031746,0.5444444444444444,0.775,0.8277777777777777,1.0,0.4642857142857143,0.675,0.8416666666666667,0.9,1.0,0.8273809523809523,0.9361111111111111,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.8214285714285714,-0.5952380952380952,-0.3333333333333333,0.0,-0.8333333333333334,-0.6349206349206349,-0.42142857142857143,-0.16666666666666666,-0.49047619047619045,-0.28253968253968254,0.0,-0.15,-0.5714285714285714,-0.36666666666666664,-0.1373015873015873,0.15,-0.24761904761904763,-0.0,0.20555555555555555,-0.0,0.31666666666666665,-0.23809523809523808,0.004761904761904762,0.2873015873015873,0.15,0.5,0.43333333333333335,0.8666666666666667,0.14285714285714285,0.4119047619047619,0.7277777777777777,0.5833333333333334,0.8666666666666667,0.5238095238095238,0.7833333333333333,0.9333333333333333,0.8333333333333334,1.0,1.0,1.0
[3. 3. 3. 1. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.7797619047619048,-0.40476190476190477,0.0,-1.0,-0.8690476190476191,-0.5571428571428572,-0.14166666666666666,-0.7142857142857143,-0.31666666666666665,0.15,0.0,-0.8571428571428571,-0.5928571428571429,-0.24761904761904763,0.13095238095238096,-0.4154761904761905,-0.0,0.4,-0.15,0.2833333333333333,-0.5595238095238095,-0.19047619047619047,0.20595238095238094,0.075,0.525,0.375,0.8666666666666667,-0.13333333333333333,0.28095238095238095,0.6333333333333333,0.625,0.8666666666666667,0.35595238095238096,0.7083333333333334,0.9666666666666667,0.7833333333333333,0.9666666666666667,1.0,1.0
[4. 1. 1. 1. 1. 1. 1. 0. 0. 0.],-1.0,-1.0,-0.8833333333333333,-0.7011904761904761,-0.49523809523809526,-0.2976190476190476,-0.6666666666666666,-0.375,-0.13333333333333333,0.05952380952380952,0.3,0.44642857142857145,0.5714285714285714,0.8571428571428571,0.0,0.23333333333333334,0.40476190476190477,0.5476190476190477,0.7916666666666666,0.8571428571428571,1.0,1.0,1.0,0.6333333333333333,0.725,0.8154761904761905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 1. 1. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.861904761904762,-0.6880952380952381,-0.5047619047619047,-0.31746031746031744,-0.6888888888888889,-0.46746031746031746,-0.26031746031746034,-0.06349206349206349,0.0,0.19285714285714287,0.36666666666666664,0.5928571428571429,-0.23333333333333334,0.0,0.20555555555555555,0.3904761904761905,0.46746031746031746,0.6277777777777778,0.9166666666666666,0.861904761904762,0.9333333333333333,0.28888888888888886,0.46746031746031746,0.6222222222222222,0.8174603174603174,0.9111111111111111,1.0,1.0,0.7777777777777778,0.861904761904762,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 1. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.8611111111111112,-0.7047619047619048,-0.5412698412698412,-0.3611111111111111,-0.7333333333333333,-0.5535714285714286,-0.38333333333333336,-0.2003968253968254,-0.24126984126984127,-0.06335978835978837,0.1373015873015873,0.24761904761904763,-0.40476190476190477,-0.20555555555555555,0.0,0.225,0.12817460317460316,0.3412698412698413,0.6666666666666666,0.5444444444444444,0.7666666666666667,-0.0,0.2003968253968254,0.4119047619047619,0.4996031746031746,0.7166666666666667,0.8638888888888889,1.0,0.4642857142857143,0.6464285714285715,0.825,0.8638888888888889,1.0,0.8273809523809523,0.9361111111111111,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 2. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.8809523809523809,-0.7547619047619047,-0.6333333333333333,-0.5,-0.7916666666666666,-0.6428571428571429,-0.5119047619047619,-0.375,-0.43333333333333335,-0.30952380952380953,-0.15,-0.13095238095238096,-0.5476190476190477,-0.3904761904761905,-0.225,0.0,-0.17857142857142858,-0.0,0.225,0.15,0.4583333333333333,-0.23809523809523808,-0.06428571428571428,0.15,0.13095238095238096,0.39166666666666666,0.5083333333333333,0.8666666666666667,0.14285714285714285,0.35595238095238096,0.6666666666666666,0.5333333333333333,0.9,0.5238095238095238,0.7583333333333333,0.9,0.8333333333333334,1.0,1.0,1.0
[4. 3. 1. 1. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.8392857142857143,-0.5857142857142857,-0.30158730158730157,-1.0,-0.8053571428571429,-0.5071428571428571,-0.19067460317460316,-0.42857142857142855,-0.06626984126984127,0.24761904761904763,0.4154761904761905,-0.7916666666666666,-0.46746031746031746,-0.12817460317460316,0.17857142857142858,0.0,0.33630952380952384,0.775,0.4492063492063492,0.7166666666666667,-0.3611111111111111,-0.0,0.30952380952380953,0.4853174603174603,0.7291666666666666,0.8513888888888889,1.0,0.21666666666666667,0.5214285714285715,0.7416666666666667,0.8916666666666667,1.0,0.7416666666666667,0.8916666666666667,1.0,1.0,1.0,1.0,1.0
[4. 3. 2. 1. 0. 0. 0. 0. 0. 0.],-1.0,-1.0,-1.0,-0.8809523809523809,-0.6619047619047619,-0.3611111111111111,-1.0,-0.8621031746031746,-0.640079365079365,-0.3501984126984127,-0.6222222222222222,-0.3412698412698413,0.0,0.0,-0.8571428571428571,-0.6277777777777778,-0.3412698412698413,0.0,-0.33630952380952384,0.0,0.4027777777777778,-0.0,0.4027777777777778,-0.5595238095238095,-0.2654761904761905,0.06865079365079366,0.06865079365079366,0.44166666666666665,0.4583333333333333,0.8666666666666667,-0.13333333333333333,0.2123015873015873,0.5611111111111111,0.5694444444444444,0.9,0.35595238095238096,0.6805555555555556,0.9333333333333333,0.7833333333333333,0.9666666666666667,1.0,1.0
