,[2. 2. 1. 1. 1. 1. 1. 1. 1.],[2. 2. 2. 1. 1. 1. 1. 1. 0.],[2. 2. 2. 2. 1. 1. 1. 0. 0.],[2. 2. 2. 2. 2. 1. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1.],[3. 2. 1. 1. 1. 1. 1. 1. 0.],[3. 2. 2. 1. 1. 1. 1. 0. 0.],[3. 2. 2. 2. 1. 1. 0. 0. 0.],[3. 2. 2. 2. 2. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 0. 0.],[3. 3. 2. 1. 1. 1. 0. 0. 0.],[3. 3. 2. 2. 1. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 0. 0. 0. 0.],[3. 3. 3. 2. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 0.],[4. 2. 1. 1. 1. 1. 1. 0. 0.],[4. 2. 2. 1. 1. 1. 0. 0. 0.],[4. 2. 2. 2. 1. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 0. 0. 0.],[4. 3. 2. 1. 1. 0. 0. 0. 0.],[4. 3. 2. 2. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 0. 0. 0. 0.],[4. 4. 2. 1. 0. 0. 0. 0. 0.],[4. 4. 3. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 0. 0.],[5. 2. 1. 1. 1. 1. 0. 0. 0.],[5. 2. 2. 1. 1. 0. 0. 0. 0.],[5. 2. 2. 2. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 0. 0. 0. 0.],[5. 3. 2. 1. 0. 0. 0. 0. 0.],[5. 3. 3. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 0. 0. 0. 0. 0.],[5. 4. 2. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 0. 0. 0.],[6. 2. 1. 1. 1. 0. 0. 0. 0.],[6. 2. 2. 1. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 0. 0. 0. 0. 0.],[6. 3. 2. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 0. 0. 0. 0. 0. 0.],[6. 5. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 0. 0. 0. 0.],[7. 2. 1. 1. 0. 0. 0. 0. 0.],[7. 2. 2. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 0. 0. 0. 0. 0. 0.],[7. 4. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 0. 0. 0. 0. 0.],[8. 2. 1. 0. 0. 0. 0. 0. 0.],[8. 3. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 0. 0. 0. 0. 0. 0.],[9. 2. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.]
[3. 3. 2. 1. 1. 1. 0. 0. 0.],-0.7222222222222222,-0.47619047619047616,-0.28888888888888886,-0.1349206349206349,-0.6666666666666666,-0.4107142857142857,-0.2246031746031746,-0.06964285714285715,0.06666666666666667,-0.15873015873015872,0.0,0.14285714285714285,0.24047619047619048,0.39087301587301587,-0.25,-0.07539682539682539,0.06825396825396825,0.19285714285714287,0.14603174603174604,0.28174603174603174,0.4007936507936508,0.5476190476190477,0.42142857142857143,0.5396825396825397,0.8412698412698413,0.2261904761904762,0.3543650793650794,0.45714285714285713,0.5476190476190477,0.5722222222222222,0.6686507936507936,0.9047619047619048,0.7976190476190477,0.8809523809523809,1.0,0.6428571428571429,0.7031746031746032,0.7619047619047619,0.876984126984127,0.9285714285714286,1.0,1.0,0.9047619047619048,0.9166666666666666,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[3. 3. 2. 2. 1. 0. 0. 0. 0.],-0.5833333333333334,-0.34523809523809523,-0.16507936507936508,0.0,-0.5555555555555556,-0.376984126984127,-0.22433862433862434,-0.07698412698412699,0.07936507936507936,-0.2724867724867725,-0.14285714285714285,0.0,-0.07301587301587302,0.09126984126984126,-0.2777777777777778,-0.14285714285714285,-0.003968253968253968,0.14047619047619048,-0.06666666666666667,0.07116402116402117,0.23015873015873015,0.1626984126984127,0.13333333333333333,0.2857142857142857,0.4603174603174603,0.06349206349206349,0.20634920634920634,0.3492063492063492,0.5,0.2865079365079365,0.4470899470899471,0.6190476190476191,0.49206349206349204,0.6825396825396826,0.8174603174603174,0.4126984126984127,0.5412698412698412,0.6732804232804233,0.626984126984127,0.7976190476190477,0.8174603174603174,1.0,0.7111111111111111,0.8095238095238095,0.9126984126984127,0.8928571428571429,1.0,0.9126984126984127,0.9682539682539683,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 1. 1. 0. 0. 0. 0.],-1.0,-0.7023809523809523,-0.36507936507936506,-0.06746031746031746,-1.0,-0.7857142857142857,-0.4579365079365079,-0.14285714285714285,0.13333333333333333,-0.5873015873015873,-0.24047619047619048,0.07301587301587302,0.0,0.3253968253968254,-0.7222222222222222,-0.46825396825396826,-0.19285714285714287,0.06746031746031746,-0.30317460317460315,-0.0,0.2698412698412698,0.2619047619047619,-0.08571428571428572,0.20238095238095238,0.5476190476190477,-0.36507936507936506,-0.06507936507936508,0.20793650793650795,0.4365079365079365,0.1523809523809524,0.43253968253968256,0.7619047619047619,0.36507936507936506,0.6190476190476191,0.7936507936507936,0.07142857142857142,0.3547619047619048,0.5714285714285714,0.6071428571428571,0.7976190476190477,0.7936507936507936,1.0,0.5079365079365079,0.7063492063492064,0.8333333333333334,0.9246031746031746,1.0,0.8412698412698413,0.9246031746031746,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 2. 0. 0. 0. 0. 0.],-1.0,-0.6527777777777778,-0.2857142857142857,0.10119047619047619,-1.0,-0.7619047619047619,-0.48412698412698413,-0.1746031746031746,0.19047619047619047,-0.6428571428571429,-0.39087301587301587,-0.09126984126984126,-0.3253968253968254,0.0,-0.7222222222222222,-0.503968253968254,-0.2698412698412698,0.001984126984126984,-0.45634920634920634,-0.21825396825396826,0.08134920634920635,-0.1626984126984127,-0.3333333333333333,-0.08134920634920635,0.011904761904761904,-0.4444444444444444,-0.1984126984126984,0.07539682539682539,0.38492063492063494,-0.13690476190476192,0.1626984126984127,0.3333333333333333,-0.0,0.3253968253968254,0.3968253968253968,-0.12698412698412698,0.1488095238095238,0.4444444444444444,0.24404761904761904,0.5992063492063492,0.3968253968253968,0.8333333333333334,0.2222222222222222,0.503968253968254,0.7817460317460317,0.6408730158730159,0.8333333333333334,0.5634920634920635,0.8115079365079365,0.9583333333333334,0.8412698412698413,1.0,1.0,1.0
[4. 1. 1. 1. 1. 1. 1. 1. 0.],-0.9722222222222222,-0.9166666666666666,-0.8333333333333334,-0.7222222222222222,-0.7777777777777778,-0.5833333333333334,-0.4166666666666667,-0.2777777777777778,-0.16666666666666666,0.19444444444444445,0.25,0.2777777777777778,0.7222222222222222,0.7222222222222222,0.0,0.09722222222222222,0.16666666666666666,0.20833333333333334,0.75,0.7222222222222222,0.7222222222222222,1.0,1.0,1.0,1.0,0.6944444444444444,0.6527777777777778,0.6388888888888888,0.6527777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 1. 1. 1. 1. 1. 0. 0.],-0.9166666666666666,-0.8055555555555556,-0.6984126984126984,-0.6031746031746031,-0.6666666666666666,-0.49404761904761907,-0.37566137566137564,-0.27976190476190477,-0.19047619047619047,0.0,0.07539682539682539,0.14285714285714285,0.46825396825396826,0.503968253968254,-0.09722222222222222,0.0,0.07738095238095238,0.14285714285714285,0.45634920634920634,0.498015873015873,0.5370370370370371,0.8214285714285714,0.8412698412698413,0.8544973544973545,1.0,0.4365079365079365,0.45634920634920634,0.4880952380952381,0.5238095238095238,0.7876984126984127,0.8115079365079365,1.0,1.0,1.0,1.0,0.8571428571428571,0.8412698412698413,0.8544973544973545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 1. 1. 1. 0. 0. 0.],-0.8333333333333334,-0.6904761904761905,-0.5896825396825397,-0.5119047619047619,-0.5555555555555556,-0.44047619047619047,-0.3547619047619048,-0.28134920634920635,-0.20793650793650795,-0.1349206349206349,-0.06825396825396825,0.003968253968253968,0.19285714285714287,0.2698412698412698,-0.16666666666666666,-0.07738095238095238,0.0,0.075,0.20952380952380953,0.28174603174603174,0.3611111111111111,0.5396825396825397,0.5722222222222222,0.6507936507936508,0.8809523809523809,0.2261904761904762,0.2908730158730159,0.3547619047619048,0.4226190476190476,0.5246031746031746,0.5972222222222222,0.8412698412698413,0.8373015873015873,0.9047619047619048,1.0,0.6428571428571429,0.6753968253968254,0.7261904761904762,0.8373015873015873,0.9047619047619048,1.0,1.0,0.9047619047619048,0.9166666666666666,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 2. 1. 0. 0. 0. 0.],-0.7222222222222222,-0.5793650793650794,-0.4936507936507937,-0.4365079365079365,-0.4444444444444444,-0.39880952380952384,-0.3412698412698413,-0.2908730158730159,-0.23809523809523808,-0.24603174603174602,-0.19285714285714287,-0.14047619047619048,-0.06746031746031746,-0.001984126984126984,-0.20833333333333334,-0.14285714285714285,-0.075,0.0,0.0015873015873015873,0.07023809523809524,0.1626984126984127,0.20436507936507936,0.2865079365079365,0.3968253968253968,0.5714285714285714,0.06349206349206349,0.1380952380952381,0.21984126984126984,0.3253968253968254,0.26071428571428573,0.3531746031746032,0.5079365079365079,0.5595238095238095,0.7222222222222222,0.8174603174603174,0.4126984126984127,0.49047619047619045,0.5952380952380952,0.5833333333333334,0.7281746031746031,0.8551587301587301,1.0,0.7111111111111111,0.7857142857142857,0.9007936507936508,0.8551587301587301,1.0,0.9126984126984127,0.9682539682539683,1.0,1.0,1.0,1.0,1.0
[4. 3. 1. 1. 1. 1. 0. 0. 0.],-1.0,-0.8968253968253969,-0.707936507936508,-0.5,-1.0,-0.8194444444444444,-0.5698412698412698,-0.33690476190476193,-0.13333333333333333,-0.4126984126984127,-0.14603174603174604,0.06666666666666667,0.30317460317460315,0.45634920634920634,-0.75,-0.45634920634920634,-0.20952380952380953,-0.0015873015873015873,0.0,0.21587301587301588,0.38095238095238093,0.6349206349206349,0.4007936507936508,0.5555555555555556,0.9047619047619048,-0.2619047619047619,-0.0,0.2,0.35714285714285715,0.44642857142857145,0.5833333333333334,0.9047619047619048,0.7876984126984127,0.873015873015873,1.0,0.3253968253968254,0.49206349206349204,0.6111111111111112,0.8412698412698413,0.9047619047619048,1.0,1.0,0.7936507936507936,0.8412698412698413,0.9047619047619048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 3. 2. 1. 1. 0. 0. 0. 0.],-1.0,-0.8412698412698413,-0.6412698412698413,-0.43253968253968256,-1.0,-0.7738095238095238,-0.5632275132275132,-0.353968253968254,-0.14603174603174604,-0.4880952380952381,-0.28174603174603174,-0.07116402116402117,0.0,0.21825396825396826,-0.7222222222222222,-0.498015873015873,-0.28174603174603174,-0.07023809523809524,-0.21587301587301588,0.0,0.21428571428571427,0.29894179894179895,0.07301587301587302,0.29894179894179895,0.6428571428571429,-0.36507936507936506,-0.14444444444444443,0.06931216931216931,0.2698412698412698,0.14047619047619048,0.3505291005291005,0.6547619047619048,0.44576719576719576,0.6607142857142857,0.7936507936507936,0.07142857142857142,0.2873015873015873,0.47883597883597884,0.5595238095238095,0.7380952380952381,0.8373015873015873,1.0,0.5079365079365079,0.6732804232804233,0.8095238095238095,0.8809523809523809,1.0,0.8412698412698413,0.9246031746031746,1.0,1.0,1.0,1.0,1.0
[4. 3. 2. 2. 0. 0. 0. 0. 0.],-1.0,-0.8015873015873016,-0.6031746031746031,-0.38492063492063494,-1.0,-0.751984126984127,-0.5687830687830688,-0.39087301587301587,-0.1746031746031746,-0.5502645502645502,-0.4007936507936508,-0.23015873015873015,-0.2698412698412698,-0.08134920634920635,-0.7222222222222222,-0.5370370370370371,-0.3611111111111111,-0.1626984126984127,-0.38095238095238093,-0.21428571428571427,0.0,-0.07407407407407407,-0.20238095238095238,-0.0,0.19047619047619047,-0.4444444444444444,-0.2698412698412698,-0.07671957671957672,0.1626984126984127,-0.12896825396825398,0.07407407407407407,0.24206349206349206,0.08134920634920635,0.3551587301587302,0.3968253968253968,-0.12698412698412698,0.07539682539682539,0.31084656084656087,0.2222222222222222,0.49404761904761907,0.4781746031746032,0.8333333333333334,0.2222222222222222,0.4444444444444444,0.7142857142857143,0.5892857142857143,0.875,0.5634920634920635,0.7817460317460317,0.9166666666666666,0.8412698412698413,1.0,1.0,1.0
[4. 3. 3. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.7420634920634921,-0.38492063492063494,-1.0,-1.0,-0.794973544973545,-0.45634920634920634,-0.0873015873015873,-0.8544973544973545,-0.5476190476190477,-0.1626984126984127,-0.2619047619047619,0.1626984126984127,-1.0,-0.8214285714285714,-0.5396825396825397,-0.20436507936507936,-0.6349206349206349,-0.29894179894179895,0.07407407407407407,0.0,-0.43253968253968256,-0.07407407407407407,0.2976190476190476,-0.8015873015873016,-0.5277777777777778,-0.20238095238095238,0.14087301587301587,-0.2996031746031746,0.07407407407407407,0.4365079365079365,-0.08134920634920635,0.3134920634920635,0.3253968253968254,-0.48412698412698413,-0.13690476190476192,0.2222222222222222,0.15542328042328044,0.5317460317460317,0.4166666666666667,0.8333333333333334,-0.07142857142857142,0.30357142857142855,0.6190476190476191,0.6329365079365079,0.875,0.38492063492063494,0.7003968253968254,0.9583333333333334,0.7817460317460317,0.9583333333333334,1.0,1.0
[4. 4. 1. 1. 1. 0. 0. 0. 0.],-1.0,-1.0,-0.9119047619047619,-0.7261904761904762,-1.0,-1.0,-0.8380952380952381,-0.5904761904761905,-0.3333333333333333,-0.7341269841269841,-0.42142857142857143,-0.13333333333333333,0.08571428571428572,0.3333333333333333,-1.0,-0.8412698412698413,-0.5722222222222222,-0.2865079365079365,-0.4007936507936508,-0.07301587301587302,0.20238095238095238,0.43253968253968256,0.0,0.31746031746031744,0.7857142857142857,-0.7619047619047619,-0.49206349206349204,-0.20793650793650795,0.05555555555555555,-0.0,0.2698412698412698,0.6904761904761905,0.4126984126984127,0.6547619047619048,0.7698412698412699,-0.3253968253968254,-0.0,0.2698412698412698,0.5,0.6904761904761905,0.8690476190476191,1.0,0.23809523809523808,0.5,0.6904761904761905,0.8690476190476191,1.0,0.7420634920634921,0.8690476190476191,1.0,1.0,1.0,1.0,1.0
[4. 4. 2. 1. 0. 0. 0. 0. 0.],-1.0,-1.0,-0.9007936507936508,-0.7222222222222222,-1.0,-1.0,-0.8412698412698413,-0.6349206349206349,-0.38095238095238093,-0.7685185185185185,-0.5396825396825397,-0.2857142857142857,-0.20238095238095238,0.08134920634920635,-1.0,-0.8544973544973545,-0.6507936507936508,-0.3968253968253968,-0.5555555555555556,-0.29894179894179895,0.0,0.07407407407407407,-0.31746031746031744,0.0,0.4365079365079365,-0.8015873015873016,-0.5912698412698413,-0.3558201058201058,-0.08134920634920635,-0.2698412698412698,-0.0,0.35714285714285715,-0.0,0.3492063492063492,0.3253968253968254,-0.48412698412698413,-0.21825396825396826,0.07407407407407407,0.14814814814814814,0.4444444444444444,0.5079365079365079,0.8333333333333334,-0.07142857142857142,0.2294973544973545,0.5317460317460317,0.5753968253968254,0.9166666666666666,0.38492063492063494,0.6666666666666666,0.9166666666666666,0.7817460317460317,0.9583333333333334,1.0,1.0
