,[2. 2. 2. 1. 1. 1. 1. 1.],[2. 2. 2. 2. 1. 1. 1. 0.],[2. 2. 2. 2. 2. 1. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1.],[3. 2. 2. 1. 1. 1. 1. 0.],[3. 2. 2. 2. 1. 1. 0. 0.],[3. 2. 2. 2. 2. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 0.],[3. 3. 2. 1. 1. 1. 0. 0.],[3. 3. 2. 2. 1. 0. 0. 0.],[3. 3. 3. 1. 1. 0. 0. 0.],[3. 3. 3. 2. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1.],[4. 2. 1. 1. 1. 1. 1. 0.],[4. 2. 2. 1. 1. 1. 0. 0.],[4. 2. 2. 2. 1. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 0. 0.],[4. 3. 2. 1. 1. 0. 0. 0.],[4. 3. 2. 2. 0. 0. 0. 0.],[4. 3. 3. 1. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 0. 0. 0.],[4. 4. 2. 1. 0. 0. 0. 0.],[4. 4. 3. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 0.],[5. 2. 1. 1. 1. 1. 0. 0.],[5. 2. 2. 1. 1. 0. 0. 0.],[5. 2. 2. 2. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 0. 0. 0.],[5. 3. 2. 1. 0. 0. 0. 0.],[5. 3. 3. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 0. 0. 0. 0.],[5. 4. 2. 0. 0. 0. 0. 0.],[5. 5. 1. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 0. 0.],[6. 2. 1. 1. 1. 0. 0. 0.],[6. 2. 2. 1. 0. 0. 0. 0.],[6. 3. 1. 1. 0. 0. 0. 0.],[6. 3. 2. 0. 0. 0. 0. 0.],[6. 4. 1. 0. 0. 0. 0. 0.],[6. 5. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 0. 0. 0.],[7. 2. 1. 1. 0. 0. 0. 0.],[7. 2. 2. 0. 0. 0. 0. 0.],[7. 3. 1. 0. 0. 0. 0. 0.],[7. 4. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 0. 0. 0. 0.],[8. 2. 1. 0. 0. 0. 0. 0.],[8. 3. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 0. 0. 0. 0. 0.],[9. 2. 0. 0. 0. 0. 0. 0.],[10.  1.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.]
[3. 3. 3. 1. 1. 0. 0. 0.],-0.6428571428571429,-0.26785714285714285,0.0,-0.7321428571428571,-0.37142857142857144,-0.08214285714285714,0.15,-0.5178571428571429,-0.18571428571428572,0.08214285714285714,0.0,0.26785714285714285,-0.625,-0.39285714285714285,-0.14464285714285716,0.075,-0.2642857142857143,-0.0,0.225,0.19642857142857142,-0.09642857142857143,0.15,0.42857142857142855,-0.26785714285714285,0.0035714285714285713,0.23214285714285715,0.4142857142857143,0.17142857142857143,0.4035714285714286,0.6964285714285714,0.32857142857142857,0.5357142857142857,0.75,0.16071428571428573,0.3964285714285714,0.5642857142857143,0.6,0.75,0.75,1.0,0.5678571428571428,0.7142857142857143,0.8035714285714286,0.9107142857142857,1.0,0.8642857142857143,0.9107142857142857,1.0,1.0,1.0,1.0,1.0
[3. 3. 3. 2. 0. 0. 0. 0.],-0.375,0.0,0.3392857142857143,-0.5714285714285714,-0.2857142857142857,0.0,0.32142857142857145,-0.5,-0.2642857142857143,0.0,-0.26785714285714285,0.0,-0.5,-0.35714285714285715,-0.15714285714285714,0.07857142857142857,-0.37142857142857144,-0.16428571428571428,0.08928571428571429,-0.17857142857142858,-0.3,-0.08928571428571429,-0.10714285714285714,-0.2857142857142857,-0.07857142857142857,0.15714285714285714,0.42142857142857143,-0.075,0.17857142857142858,0.25,-0.0,0.26785714285714285,0.35714285714285715,-0.0,0.2357142857142857,0.4857142857142857,0.26785714285714285,0.5714285714285714,0.35714285714285715,0.7857142857142857,0.3142857142857143,0.55,0.7857142857142857,0.625,0.7857142857142857,0.6142857142857143,0.8214285714285714,0.9464285714285714,0.8571428571428571,1.0,1.0,1.0
[4. 1. 1. 1. 1. 1. 1. 1.],-1.0,-1.0,-1.0,-0.75,-0.625,-0.5,-0.375,0.125,0.125,0.125,0.625,0.5,0.0,-0.0,-0.0,-0.0,0.75,0.625,0.5,1.0,1.0,1.0,1.0,0.75,0.625,0.5,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 1. 1. 1. 1. 1. 0.],-0.8928571428571429,-0.8214285714285714,-0.7619047619047619,-0.5357142857142857,-0.4523809523809524,-0.40476190476190477,-0.35714285714285715,0.0,0.005952380952380952,0.017857142857142856,0.39285714285714285,0.35714285714285715,0.0,0.0,-0.0,-0.0,0.4523809523809524,0.41964285714285715,0.38095238095238093,0.75,0.8392857142857143,0.7976190476190477,1.0,0.5357142857142857,0.4523809523809524,0.40476190476190477,0.35714285714285715,0.7767857142857143,0.7351190476190477,1.0,1.0,1.0,1.0,0.8988095238095238,0.8392857142857143,0.7976190476190477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 1. 1. 1. 0. 0.],-0.6964285714285714,-0.6214285714285714,-0.5892857142857143,-0.35714285714285715,-0.3345238095238095,-0.32261904761904764,-0.3107142857142857,-0.07738095238095238,-0.07738095238095238,-0.07142857142857142,0.14464285714285716,0.15714285714285714,0.0,0.0,0.0,-0.0,0.2392857142857143,0.24047619047619048,0.24404761904761904,0.46190476190476193,0.5767857142857142,0.5904761904761905,0.8214285714285714,0.35714285714285715,0.3345238095238095,0.32261904761904764,0.3107142857142857,0.5196428571428572,0.5285714285714286,0.7619047619047619,0.8238095238095238,0.8571428571428571,1.0,0.7321428571428571,0.6910714285714286,0.6821428571428572,0.8238095238095238,0.8571428571428571,1.0,1.0,0.9357142857142857,0.9142857142857143,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 2. 2. 2. 1. 0. 0. 0.],-0.42857142857142855,-0.4,-0.4107142857142857,-0.21428571428571427,-0.23214285714285715,-0.24642857142857144,-0.26785714285714285,-0.14285714285714285,-0.14464285714285716,-0.15714285714285714,-0.075,-0.07857142857142857,0.0,0.0,0.0,0.0,0.075,0.07857142857142857,0.08928571428571429,0.15,0.32142857142857145,0.3607142857142857,0.4642857142857143,0.21428571428571427,0.23214285714285715,0.24642857142857144,0.26785714285714285,0.29017857142857145,0.3142857142857143,0.39285714285714285,0.5535714285714286,0.6517857142857143,0.7857142857142857,0.5357142857142857,0.5473214285714286,0.5857142857142857,0.5785714285714286,0.6607142857142857,0.8303571428571429,1.0,0.7857142857142857,0.8035714285714286,0.875,0.8303571428571429,1.0,0.9392857142857143,0.9642857142857143,1.0,1.0,1.0,1.0,1.0
[4. 3. 1. 1. 1. 1. 0. 0.],-0.9285714285714286,-0.7714285714285715,-0.5714285714285714,-0.8392857142857143,-0.6011904761904762,-0.38571428571428573,-0.22142857142857142,-0.40476190476190477,-0.16904761904761906,0.0,0.2642857142857143,0.37142857142857144,-0.75,-0.4523809523809524,-0.2392857142857143,-0.075,0.0,0.1630952380952381,0.2857142857142857,0.569047619047619,0.37142857142857144,0.4714285714285714,0.8571428571428571,-0.21428571428571427,-0.0,0.15,0.2714285714285714,0.425,0.5119047619047619,0.8571428571428571,0.7535714285714286,0.8095238095238095,1.0,0.38095238095238093,0.4785714285714286,0.5523809523809524,0.819047619047619,0.8571428571428571,1.0,1.0,0.8214285714285714,0.819047619047619,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
[4. 3. 2. 1. 1. 0. 0. 0.],-0.8214285714285714,-0.6107142857142858,-0.4226190476190476,-0.7142857142857143,-0.5035714285714286,-0.3267857142857143,-0.16428571428571428,-0.40476190476190477,-0.24047619047619048,-0.07976190476190476,0.0,0.16428571428571428,-0.625,-0.41964285714285715,-0.24047619047619048,-0.07857142857142857,-0.1630952380952381,0.0,0.15833333333333333,0.25,0.08214285714285714,0.25,0.5535714285714286,-0.26785714285714285,-0.08571428571428572,0.07738095238095238,0.225,0.15714285714285714,0.3113095238095238,0.5714285714285714,0.41904761904761906,0.5803571428571429,0.75,0.16071428571428573,0.32142857142857145,0.45714285714285713,0.5476190476190477,0.6785714285714286,0.8035714285714286,1.0,0.5678571428571428,0.6761904761904762,0.7678571428571429,0.8571428571428571,1.0,0.8642857142857143,0.9107142857142857,1.0,1.0,1.0,1.0,1.0
[4. 3. 2. 2. 0. 0. 0. 0.],-0.6428571428571429,-0.42857142857142855,-0.2261904761904762,-0.5535714285714286,-0.40714285714285714,-0.2642857142857143,-0.08928571428571429,-0.40476190476190477,-0.2976190476190476,-0.16904761904761906,-0.225,-0.08928571428571429,-0.5,-0.38095238095238093,-0.24404761904761904,-0.08928571428571429,-0.2857142857142857,-0.15833333333333333,0.0,-0.08095238095238096,-0.15,-0.0,0.10119047619047619,-0.2857142857142857,-0.15714285714285714,-0.007142857142857143,0.17857142857142858,-0.07142857142857142,0.08095238095238096,0.16666666666666666,0.08928571428571429,0.2916666666666667,0.35714285714285715,-0.0,0.15714285714285714,0.3404761904761905,0.24285714285714285,0.4523809523809524,0.44642857142857145,0.7857142857142857,0.3142857142857143,0.4857142857142857,0.7023809523809523,0.5714285714285714,0.8392857142857143,0.6142857142857143,0.7857142857142857,0.8928571428571429,0.8571428571428571,1.0,1.0,1.0
[4. 3. 3. 1. 0. 0. 0. 0.],-1.0,-0.6607142857142857,-0.2857142857142857,-1.0,-0.7202380952380952,-0.3595238095238095,-0.017857142857142856,-0.7976190476190477,-0.4583333333333333,-0.09523809523809523,-0.19642857142857142,0.17857142857142858,-1.0,-0.75,-0.46190476190476193,-0.15,-0.569047619047619,-0.25,0.08095238095238096,0.0,-0.4035714285714286,-0.08095238095238096,0.22023809523809523,-0.7142857142857143,-0.45,-0.15,0.15357142857142858,-0.25357142857142856,0.08095238095238096,0.38095238095238093,-0.08928571428571429,0.25595238095238093,0.26785714285714285,-0.39285714285714285,-0.075,0.24285714285714285,0.17023809523809524,0.5,0.36904761904761907,0.7857142857142857,-0.0,0.33214285714285713,0.6071428571428571,0.6130952380952381,0.8392857142857143,0.42142857142857143,0.6964285714285714,0.9464285714285714,0.7857142857142857,0.9464285714285714,1.0,1.0
