,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[3. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.06993006993006994,-0.0644910644910645,-0.04467754467754468,-0.020396270396270396,-0.0,-0.0,-0.01825951825951826,-0.008741258741258742,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.004079254079254079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.3146853146853147,-0.1710955710955711,-0.07925407925407925,-0.023310023310023312,-0.0,-0.0,-0.0644910644910645,-0.019425019425019424,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.016317016317016316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.7062937062937062,-0.35384615384615387,-0.11888111888111888,-0.02097902097902098,-0.0,-0.0,-0.16783216783216784,-0.03496503496503497,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.04895104895104895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.7062937062937062,-0.393006993006993,-0.16783216783216784,-0.04195804195804196,-0.0,-0.0,-0.14335664335664336,-0.03496503496503497,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04895104895104895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.013986013986013986,-0.019064269064269064,-0.013403263403263404,0.004079254079254079,0.016317016317016316,-0.0034965034965034965,-0.002913752913752914,0.004079254079254079,0.016317016317016316,0.004079254079254079,0.016317016317016316,0.04895104895104895,0.04895104895104895,-0.0,0.0034965034965034965,0.013986013986013986,0.04195804195804196,0.013986013986013986,0.04195804195804196,0.1048951048951049,0.03496503496503497,0.08741258741258741,0.0034965034965034965,0.013986013986013986,0.04195804195804196,0.04195804195804196,0.1048951048951049,0.08741258741258741,0.19230769230769232,0.013986013986013986,0.04195804195804196,0.1048951048951049,0.1048951048951049,0.19230769230769232,0.04195804195804196,0.1048951048951049,0.23076923076923078,0.1048951048951049,0.23076923076923078,0.23076923076923078,0.46153846153846156
[4. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.06993006993006994,-0.0644910644910645,-0.04467754467754468,-0.020396270396270396,-0.0,-0.0,-0.02165889665889666,-0.01048951048951049,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0034965034965034965,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.3146853146853147,-0.1710955710955711,-0.07925407925407925,-0.023310023310023312,-0.0,-0.0,-0.07536907536907538,-0.023310023310023312,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.013986013986013986,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.7062937062937062,-0.35384615384615387,-0.11888111888111888,-0.02097902097902098,-0.0,-0.0,-0.19230769230769232,-0.04195804195804196,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04195804195804196,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.3146853146853147,-0.1972027972027972,-0.10878010878010878,-0.04079254079254079,-0.0,-0.0,-0.0644910644910645,-0.023310023310023312,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.013986013986013986,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.7062937062937062,-0.393006993006993,-0.16783216783216784,-0.04195804195804196,-0.0,-0.0,-0.16783216783216784,-0.043706293706293704,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04195804195804196,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
