,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[3. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.],-0.6410256410256411,-0.3146853146853147,-0.11888111888111888,-0.031857031857031856,-0.004662004662004662,-0.0,-0.2233100233100233,-0.07536907536907538,-0.013986013986013986,-0.0,-0.0,-0.03263403263403263,0.0,0.0,0.0,0.0,-0.08624708624708624,-0.016317016317016316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016317016317016316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 3. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.03496503496503497,-0.04467754467754468,-0.03876678876678877,-0.018648018648018648,0.016317016317016316,-0.011655011655011656,-0.013292263292263292,-0.005244755244755245,0.012237762237762238,0.03263403263403263,-0.0,0.008741258741258742,0.023310023310023312,0.01554001554001554,0.03496503496503497,-0.0034965034965034965,0.0,0.012237762237762238,0.03263403263403263,0.008741258741258742,0.023310023310023312,0.05244755244755245,0.03496503496503497,0.023310023310023312,0.05244755244755245,0.06993006993006994,0.002913752913752914,0.012237762237762238,0.03263403263403263,0.07342657342657342,0.023310023310023312,0.05244755244755245,0.06993006993006994,0.05244755244755245,0.1048951048951049,0.1048951048951049,0.012237762237762238,0.03263403263403263,0.07342657342657342,0.05244755244755245,0.1048951048951049,0.1048951048951049,0.19230769230769232,0.03263403263403263,0.07342657342657342,0.14685314685314685,0.1048951048951049,0.19230769230769232,0.07342657342657342,0.14685314685314685,0.19230769230769232,0.14685314685314685,0.2692307692307692,0.2692307692307692,0.46153846153846156
[3. 3. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.19230769230769232,-0.14335664335664336,-0.09766899766899767,-0.05536130536130536,-0.020396270396270396,-0.0,-0.0644910644910645,-0.03807303807303807,-0.014568764568764568,-0.0,-0.0,-0.008741258741258742,-0.0,0.0,0.0,0.0,-0.02505827505827506,-0.010198135198135198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004079254079254079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 3. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.6410256410256411,-0.35384615384615387,-0.1710955710955711,-0.0644910644910645,-0.013986013986013986,-0.0,-0.1972027972027972,-0.07925407925407925,-0.019425019425019424,-0.0,-0.0,-0.023310023310023312,-0.0,-0.0,0.0,0.0,-0.08624708624708624,-0.021756021756021756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016317016317016316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 3. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.6410256410256411,-0.393006993006993,-0.22657342657342658,-0.10878010878010878,-0.03263403263403263,-0.0,-0.1710955710955711,-0.07925407925407925,-0.023310023310023312,-0.0,-0.0,-0.01554001554001554,-0.0,-0.0,-0.0,0.0,-0.08624708624708624,-0.027195027195027196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016317016317016316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.0,-0.7062937062937062,-0.35384615384615387,-0.11888111888111888,-0.02097902097902098,-0.0,-0.393006993006993,-0.14335664335664336,-0.027972027972027972,-0.0,-0.0,-0.03496503496503497,-0.0,-0.0,-0.0,-0.0,-0.21678321678321677,-0.04895104895104895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04895104895104895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],-0.0,-0.0,-0.012237762237762238,-0.02165889665889666,-0.0168997668997669,0.02505827505827506,-0.0,-0.0034965034965034965,-0.0005827505827505828,0.02505827505827506,0.08624708624708624,0.0034965034965034965,0.02505827505827506,0.08624708624708624,0.08624708624708624,0.21678321678321677,-0.0,0.002913752913752914,0.02165889665889666,0.07536907536907538,0.02165889665889666,0.07536907536907538,0.19230769230769232,0.19230769230769232,0.0644910644910645,0.16783216783216784,0.3554778554778555,0.0034965034965034965,0.02165889665889666,0.07536907536907538,0.19230769230769232,0.07536907536907538,0.19230769230769232,0.3962703962703963,0.16783216783216784,0.3554778554778555,0.3554778554778555,0.02165889665889666,0.07536907536907538,0.19230769230769232,0.19230769230769232,0.3962703962703963,0.3554778554778555,0.6410256410256411,0.07536907536907538,0.19230769230769232,0.3962703962703963,0.3962703962703963,0.6410256410256411,0.19230769230769232,0.3962703962703963,0.6858974358974359,0.3962703962703963,0.6858974358974359,0.6858974358974359,1.0
[4. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],-0.0,-0.03496503496503497,-0.04467754467754468,-0.039058164058164056,-0.02097902097902098,0.006118881118881119,-0.013986013986013986,-0.015886890886890888,-0.007575757575757576,0.008158508158508158,0.016317016317016316,-0.0,0.010198135198135198,0.021756021756021756,0.027195027195027196,0.04895104895104895,-0.002913752913752914,-0.0,0.008741258741258742,0.018648018648018648,0.01048951048951049,0.023310023310023312,0.04195804195804196,0.05244755244755245,0.023310023310023312,0.043706293706293704,0.08741258741258741,0.002913752913752914,0.01048951048951049,0.023310023310023312,0.04195804195804196,0.027972027972027972,0.05244755244755245,0.1048951048951049,0.05244755244755245,0.08741258741258741,0.1048951048951049,0.012237762237762238,0.027972027972027972,0.05244755244755245,0.06293706293706294,0.1048951048951049,0.1048951048951049,0.19230769230769232,0.03263403263403263,0.06293706293706294,0.1048951048951049,0.1258741258741259,0.19230769230769232,0.07342657342657342,0.1258741258741259,0.23076923076923078,0.14685314685314685,0.23076923076923078,0.2692307692307692,0.46153846153846156
[4. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],-0.19230769230769232,-0.14335664335664336,-0.09766899766899767,-0.05536130536130536,-0.020396270396270396,-0.0,-0.07536907536907538,-0.04467754467754468,-0.017482517482517484,-0.0,-0.0,-0.012237762237762238,-0.0,-0.0,-0.0,-0.0,-0.02165889665889666,-0.008741258741258742,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004079254079254079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.6410256410256411,-0.35384615384615387,-0.1710955710955711,-0.0644910644910645,-0.013986013986013986,-0.0,-0.2233100233100233,-0.09207459207459208,-0.023310023310023312,-0.0,-0.0,-0.03263403263403263,-0.0,-0.0,-0.0,-0.0,-0.07536907536907538,-0.018648018648018648,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016317016317016316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
