,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0.],[2. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.],[2. 2. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 4. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
[3. 3. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.04695304695304695,-0.026973026973026972,-0.009790209790209791,-0.0,-0.0,-0.0,-0.004195804195804196,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.16683316683316685,-0.06826506826506827,-0.017482517482517484,-0.0,-0.0,-0.0,-0.013986013986013986,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 3. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.4065934065934066,-0.14285714285714285,-0.02564102564102564,-0.0,-0.0,-0.0,-0.038461538461538464,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[3. 3. 3. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.4065934065934066,-0.16483516483516483,-0.038461538461538464,-0.0,-0.0,-0.0,-0.03205128205128205,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.],-0.006993006993006993,-0.007792207792207792,-0.004351204351204351,-0.0,-0.0,-0.0,-0.0010878010878010878,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 2. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.04695304695304695,-0.026973026973026972,-0.009790209790209791,-0.0,-0.0,-0.0,-0.0048951048951048955,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 2. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.16683316683316685,-0.06826506826506827,-0.017482517482517484,-0.0,-0.0,-0.0,-0.016317016317016316,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.4065934065934066,-0.14285714285714285,-0.02564102564102564,-0.0,-0.0,-0.0,-0.04487179487179487,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 3. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.16683316683316685,-0.07892107892107893,-0.024475524475524476,-0.0,-0.0,-0.0,-0.013986013986013986,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[4. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.4065934065934066,-0.16483516483516483,-0.038461538461538464,-0.0,-0.0,-0.0,-0.038461538461538464,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
